Text,User,Counter,Reply
"@Alcove_Seven We'd like to follow this up for you, could you please send us a DM to confirm the order number, registered email address, and phone number associated with the account? Thanks and looking forward to your reply soon. 2/2",@Alcove_Seven:1,1,
"@Alcove_Seven Hi Lisa, thanks for reaching out, and we appreciate your patience. We're sorry to hear that your recent Online order was cancelled. We understand you've since haven't been able to get in touch with our Online Team about this. 1/2",@Alcove_Seven:2,2,
"@AlexBeforeApril Hi April, thanks for reaching out, and we appreciate your patience. We're sorry to see that your recent Online order wasn't delivered in your chosen window. We'd like to follow this up for you, could you please send us a DM to confirm if you've received your order yet? 1/2",@AlexBeforeApril:1,1,
"@AlexBeforeApril As well as the order number, registered email address, and phone number associated with the account? Additionally, if you can also please mention what time the order did arrive, that'd be greatly appreciated. Thanks and looking forward to your reply soon. 2/2",@AlexBeforeApril:2,2,
"@AlexBeforeApril Thanks for getting back to us, April. We're sorry to hear that you had to be on the phone for that long but we're glad to hear that your enquiry has been resolved. Thanks.",@AlexBeforeApril:3,3,
"@AlexBeforeApril Hi April, we're sorry to hear that you didn't receive your order in the selected timeframe. We'd like to have a look into this for you.",@AlexBeforeApril:4,4,
"@Amanda49349985 Hi Amanda, thanks for reaching out to us. We're sorry to hear about your pork and we'd love to look into this for you. Please DM us with the exact product name, expiry details and store of purchase. We hope to hear from you soon.",@Amanda49349985:1,1,would this be the same customer service team that continually ignore me @woolworths? rather than expecting me to go out of my way AGAIN how about your head of customer service call me?
"@Amanda49349985 Hi Amanda, thanks for reaching out and we're waiting for your reply. Please can you DM us. We look forward to hearing from you. Thanks.",@Amanda49349985:2,2,thanks @woolworths. another meal ruined when I opened the packet of OFF pork.
"@AmboFOAM Hi Robert, thanks for your patience with our reply. We're sorry to hear that a number of items were missing from your order. When you tried to reach our customer service team you had to be on hold, for a while. We'd certainly like to look into this for you. 1/3",@AmboFOAM:1,1,"And if you think that your bot telling me my birthday is the same as ""her"" uncle's is cute, or that hearing your god awful jingle on repeat for half an hour waiting to speak to someone will make me kindly disposed towards your brand @woolworths, you are very much mistaken..."
"@AmboFOAM Can you please send us a Direct Message and provide the following information so we can assist you with your enquiry: your order number, full name and email address, for account verification purposes? 2/3",@AmboFOAM:2,2,"I love it when my order from @woolworths arrives. It's an exciting lucky dip to see if anything I ordered actually turns up. Today I got almost nothing I ordered, but I did get toilet brushes and 5 packs of bread rolls... 🤷"
@AmboFOAM We apologise for any inconvenience caused and are looking forward to hearing from you soon. Thanks. 3/3,@AmboFOAM:3,3,
"@AmyKendall Hi Amy, thanks for your patience with our reply. We appreciate you sending us a Direct Message. We've already responded to it. Have a lovely weekend. Thanks.",@AmyKendall:1,1,Hey @woolworths - what’s the idea behind half of your products online being ‘available in store only’?
@AmyKendall We apologise for any inconvenience caused and are looking forward to hearing from you soon. Thanks. 3/3,@AmyKendall:2,2,@woolworths Ok great. I’ve done that. Look forward to hearing from you.
"@AmyKendall Hi Amy, we're sorry to hear that your order or Rapid Antigen Tests couldn't be supplied due to the stock situation. Your disappointment is certainly understandable. We'd like to look into this for you. 1/3",@AmyKendall:3,3,@woolworths allowed me to order and pay for RATs… and three days later refunded my order due to insufficient stock. For fox sake.
"@AmyKendall Can you please send us a Direct Message and provide the following information so we can assist you with your enquiry: your order number, full name and email address, for account verification purposes? 2/3",@AmyKendall:4,4,Watching the Papi G Presser - I had the Rapid Antigen Tests removed from my @woolworths shopping cart for delivery last night because they were unavailable. How can we gain access to them now? We are 20 minute drive from Woolworths. @GutweinTeam
"@AnastasiaSMihai Hi there, thanks for reaching out to us. We share your concerns about COVID and trying to keep our team and customers safe. So it's disappointing to hear that our staff aren't doing the right thing. can you DM us with the store name and time? Looking forward to your response.",@AnastasiaSMihai:1,1,
"@AndersonBlaike Hi Blaike, thanks for reaching out. We're sorry to see the quality of the chips purchased in store. This'll be escalated to our supplier, so they're aware and can investigate the issue. 1/2",@AndersonBlaike:1,1,"Hey @woolworths can you please ask Macro Organic where the rest of my chips are!?!?!??!

90% air!!! https://t.co/dpWIY2mv6I"
"@AndersonBlaike Could you please send us a DM and let us know the exact product name, expiry date, store of purchase and batch details (a combination of letters and numbers, sometimes includes a timestamp)? We look forward to hearing from you soon, thanks. 2/2",@AndersonBlaike:2,2,
@AndreaMcHutcho1 Please send us a DM if you require any further assistance and we'll be able to look into it for you. Thanks! 3/3,@AndreaMcHutcho1:1,1,@woolworths Marrickville why are you permitting unmasked people to shop FFS 🤦🏻‍♀️ I thought you got a fine if you don’t wear a mask!!!
"@AndreaMcHutcho1 are currently expected to wear a face covering. Due to medical exemptions, outlined by the Department of Health, we know some customers may not be required to wear a mask and we encourage them to consider making use of our Pick Up or Home Delivery options. 2/3",@AndreaMcHutcho1:2,2,
"@AndreaMcHutcho1 Hi Andrea, thanks for reaching out to us. The safety and wellbeing of our customers and team members is our top priority. Following the NSW Government’s directive for indoor spaces, customers and team members at our stores in the Greater Sydney Area.. 1/3",@AndreaMcHutcho1:3,3,
"@Anguscrennan Hi Angus, thanks for reaching out about the Pork Chops. We'd be happy to assist you with your enquiry. Please can you DM us directly? We look forward to hearing from you soon. Thanks.",@Anguscrennan:1,1,@woolworths what were you thinking? What exactly are you injecting into the meat you are selling? https://t.co/n2iCcfElQQ
"@Anissa72 Hi Anissa, we have updated some of our in-store COVIDsafe measures in NSW to align with the State Government’s health orders.",@Anissa72:1,1,
"@AntonellaOnai Hey there, thanks for reaching out to us about being overcharged for your groceries. We're sorry to hear about this and would love to help you out. If you could please DM us with the store you bought them from, that'd be greatly appreciated. We hope to hear from you soon.",@AntonellaOnai:1,1,@woolworths I have tho so many times and they keep telling me I have to sent this info over and over again and it’s almost 2months now
"@Applyyourmind Hi Liz, thanks for contacting us in regards to the coriander that you've purchased. We're disappointed to see the quality here and we'd like to look into this further. Can you please send us a DM so we can assist you? We look forward to your reply.",@Applyyourmind:1,1,
"@AprilXyloto Hi April, thanks for your patience with our reply. We're sorry to hear that you're unable to find your favourite meatballs in your local Woolies stores. We've checked the stock availability and their out of stock in all our of our sores, at the moment. 1/2",@AprilXyloto:1,1,@woolworths Thanks very much! Hopefully they bring them back! 😊
@AprilXyloto You're welcome. Hopefully it'll be back in stock in the future. Thanks :),@AprilXyloto:2,2,@woolworths hello! Would you be able to tell me if your pork and veal meatballs will be coming back? They’re out of stock in all my local stores. I love using them in the green curry recipe from your magazine a few months ago!
"@AprilXyloto We've sent a request to our team to bring it back, if possible, and they'll consider this at the next range review. We apologise for any inconvenience caused and appreciate your understanding. Enjoy your day. Thanks.",@AprilXyloto:3,3,
"@AtomAnt77 Hey there, thanks for reaching out to us. We're sorry to hear there's barely any Gluten Free bread available at our East Tamworth store. If you could please DM us with the exact product, we'd be more than happy to look into it for you. Thanks, we look forward to hearing from you.",@AtomAnt77:1,1,"So I’m at @woolworths East Tamworth, grand total of two loaves of gluten free bread on the shelf. What the hell?"
"@Aus_Contrarian Hi there, thanks for reaching out. We appreciate your patience and for bringing this to our attention. We'd like to look into this further, could you please DM us with the time and date of your visit to our Moorooka Store? We look forward to hearing from you, thanks.",@Aus_Contrarian:1,1,"Thank you @woolworths.

Good decision. https://t.co/ERZEEe5KT4"
"@AydenDawkins Hi Ayden, thanks for reaching out to us. We're sorry to hear about your QR code experience and we'd like to look into this. Can you please provide the store location, date of your visit through a Private Message? Thanks and we look forward to your reply soon.",@AydenDawkins:1,1,
"@Ayushe95113838 Hi Ayushe, thanks for sharing the images of the juice and we'll be sharing about the health rating printed on the product label. Please send us a DM including the name of the store, the date and time of your visit. We look forward to hearing back from you!",@Ayushe95113838:1,1,@woolworths https://t.co/XPphmJQhm4
"@BBreggie Hi Regina, thanks for reaching out. We're sorry to hear that you were unable to access our app. The temporary technical issue with our app is now resolved. We appreciate your patience during this, feel free to reach out if you need any further assistance. Thanks.",@BBreggie:1,1,
"@BMDD10 Hey there, thanks for bringing this to our attention. We're sorry to see that you're having to deal with scam emails, but if you could please report it to - hoax@woolworths.com.au, that'd be greatly appreciated. We hope you have a lovely weekend.",@BMDD10:1,1,
@BeachGirlJan Our pleasure. Thanks.,@BeachGirlJan:1,1,
"@BeachGirlJan Hi there, we're sorry to hear that your visit to our Mermaid Waters store wasn't as great as we would've liked it to be. We've shared your feedback with our store management team for their awareness. We hope that your next visit to our store will be a much better one. Thanks.",@BeachGirlJan:2,2,
"@Bek0s Hi Bekos, thanks for sharing your feedback in regards to the nectarines at the Macquarie Ryde store. We'll share this with the store management team so please let us know the date and time of your visit. We look forward to hearing back from you!",@Bek0s:1,1,"@woolworths Today, 13:30."
@Bek0s Thanks for this additional information. We've forwarded your feedback to the store management team for their awareness. We appreciate the time you've taken to let us know about this. Enjoy the rest of your day!,@Bek0s:2,2,@woolworths too many small flies on the nectarines at Macquarie Centre Woolies. You may want to check that out.
"@Bek0s Hi Bekos, thanks for your patience in our response. We're sorry to hear about the quality of service you received at the Mac Shopping Centre. We'd like to hear more about what happened if you could DM us the details that would be great. Looking forward to a response.",@Bek0s:3,3,@woolworths I think it is time to include some training courses on good manners in your onboarding syllabus. Some of your staff at the Macquarie Shopping Centre branch could really use it. #BadManners #Woolworths
"@BekaStrange Hi there, thanks for getting in touch. We're sorry to hear about the unavailable items online. Could you please send us a DM with the full name, email and phone number the online account is registered with? We hope to hear from you soon, thanks.",@BekaStrange:1,1,"@Aenemus @woolworths I didn’t get any notification from Woolies, just logged in to add something only to find I’m in credit cos I can’t have a third of my food for the week."
@BekkaBeek registered in your online account for verification so that we can look into this further. Thanks for reaching out to us and we look forward to hearing back from you! 2/2,@BekkaBeek:1,1,@woolworths You’ve only asked me to confirm my identity. No reply
"@BekkaBeek Hi Bekka, we're sorry to hear you were having an issue with the App. The App is currently fully operational and we're not aware of any known issue. However, please send us a DM with your full name, email address, and contact number 1/2",@BekkaBeek:2,2,@woolworths I’ve responded
@BekkaBeek Thanks for that and we've also responded to your DM. Have a lovely day!,@BekkaBeek:3,3,"@woolworths hi is your app down? I’ve been unable to access my cart for a day now. Have tried reinstalling app. Just says server error. 
Can access from web"
"@Belleforu101 Our plexiglass screens will also remain at all of our manned checkouts. You can find out more about our COVIDsafe measures here: https://t.co/fKpplgBNNy. We hope this information helps, thanks. 3/3",@Belleforu101:1,1,#COVID19nsw I went to @woolworths today in Sydney. Checked in and 2 hours listed I get a case alert. WTF. Should the person involved already isolating waiting for a positive test @NSWHealth
"@Belleforu101 and we encourage everyone to remain mindful of the COVIDSafe habits we’ve lived as we enter the busy Christmas period. To help keep our team and customers safe, we'll still be conducting daily cleaning and disinfection of high touch point areas within our stores. 2/3",@Belleforu101:2,2,
"@Belleforu101 Hi Bell, thanks for reaching out about the QR Codes at our stores. We'll be updating some of our in-store COVIDsafe measures to align with the NSW Government’s public health orders. The safety of our team members and customers will remain our top priority, 1/3",@Belleforu101:3,3,
"@BennSocialist As always, we ask customers to be mindful of others in their community, buy only what they need, and be respectful of each other and our teams during this difficult time. 4/5",@BennSocialist:1,1,@woolworths your decision not to restrict the purchase of toilet papers shows you have learnt nothing from 2020 and 2021 or you are happy with panic-buying ($$$$). Coles have imposed limits - and they will get my business exclusively from this point on.
@BennSocialist Thanks again for sharing your feedback and we hope you have a wonderful day ahead! 5/5,@BennSocialist:2,2,
"@BennSocialist Hi Scott, thank you for your feedback. We’re currently experiencing delays with some stock deliveries to our stores due to the impacts of COVID-19 across the food and grocery supply chain. 1/5",@BennSocialist:3,3,
@BennSocialist Our stores may have reduced availability of some products throughout the day before they receive their next delivery. 2/5,@BennSocialist:4,4,
"@BennSocialist If a favoured brand isn’t available, there should be an alternative in each category in most cases. We know this is frustrating and thank our customers for being flexible. 3/5",@BennSocialist:5,5,
"@Bill_Niko Hi Bill, we're sorry to hear about the delay with your online delivery. Could you please DM us your order number, mobile number, and email address? Thanks, we hope to hear from you soon!",@Bill_Niko:1,1,"@woolworths stuck at home in isolation, delivery was due Tuesday and didn’t arrive with no explanation or heads up. Waited over an hour on the phone yesterday and they said we would definitely get it but again no delivery and no contact. Currently on hold for over an hour again"
"@BillyElizabeth0 Hi there, thanks for reaching out and sharing that image. We're sorry to see what you've found in your flour. We'd love to look into this further for you. Can you please let us know the store of purchase in a DM? Thanks, we hope to hear from you soon!",@BillyElizabeth0:1,1,So turns out the weevils we’ve got through our pantry has been coming straight from the @woolworths shelves. Brand new packet of flour bought 5 minutes ago straight in the bin… https://t.co/lvzHTxm9tP
"@BoogieHeadsOz Hey there, thanks for reaching out. We're sorry to hear of your experience with the fruits and veges in our Airport West store. We'll be sure to share your feedback to the store management team for their awareness and review. We appreciate you sharing your feedback with us.",@BoogieHeadsOz:1,1,@woolworths Airport West store is a disgrace. You call yourselves the fresh food people. Majority of fruit and veg is old and obviously not fresh. Some to the point of being thrown out. Bread rolls were obviously frozen this morning as they were very cold and hard.
"@Brendan_Berne Thanks for getting back to us. We appreciate you sending through a DM with those details. We can see that this is being looked into further, thanks! 😊",@Brendan_Berne:1,1,@woolworths Thanks for finally fixing this @woolworths we got there.
"@Brendan_Berne Hi Brendan, thanks for reaching out. We're sorry to hear your order wasn't delivered. Could you please send us a DM with the phone number and email the online account is registered with? We hope to hear from you soon, thanks! 😊",@Brendan_Berne:2,2,@woolworths It’s now nearly two weeks since my delivery order failed to arrive with no reimbursement @woolworths. Repeated attempts to contact rebuffed. Surely I’m not the only one to fall prey to this #grocerygrift!?
"@Brindabella24 Thanks for your reply, Jorgs. We've received your DM and we'll look into providing a response shortly. Please don't hesitate to reach out for anything else and we hope you enjoy the rest of your day!",@Brindabella24:1,1,@perthhacks @woolworths Interesting! I’ve dm’d woolies so hopefully they can figure it out
"@Brindabella24 Can you please send us a DM with your full name, DOB and Everyday Rewards card number linked to your account? Thanks, we look forward to hearing from you. 2/2",@Brindabella24:2,2,@woolworths Okay I will DM you. Thanks!
"@Brindabella24 Hi Jorgs, thanks for reaching out about your boosters. We're sorry to see that you're not receiving any boosters and we appreciate you sharing that screenshot with us. We'd like to look into this, but we’ll need a few details for verification. 1/2",@Brindabella24:3,3,How come there haven’t been any boosters on your Everyday Rewards app for weeks now @woolworths ??
"@Bronni1990 Hey Bron, thanks for reaching out to us. We're sorry to see that your apricots are mouldy and we'd like to look into this further for you. Please DM us with the store of purchase and expiry/batch details. We hope to hear from you soon!",@Bronni1990:1,1,"@woolworths visible mold, and little black bugs flying around, on your apricots in your Calwell ACT store. Very off-putting https://t.co/ggO8ql22oR"
"@Bronni1990 Hi bron, we’d still like to hear from you about this. We look forward to your reply soon. Thanks.",@Bronni1990:2,2,
"@Bronnieanthony Hi Bronnie, thanks for reaching out. We're sorry to hear about your experience with our Delivery Unlimited service. Could you please send us a DM with the full name, email and phone number the online account is registered with? We hope to hear from you soon, thanks.",@Bronnieanthony:1,1,"@woolworths Sure!   So, this is the third time you've asked me for this information and this process has occurred. Next you'll apologise, make an excuse and then issue me an online only store credit for the delivery fee (of which I have two already).  What a waste of time. https://t.co/1gs0gOj4kJ"
"@BruhRrrr Hi there, thanks for reaching out. We're sorry to hear that you were unable to access our site. The temporary technical issue with our app and website is now resolved. We appreciate your patience during this, feel free to reach out if you need any further assistance. Thanks.",@BruhRrrr:1,1,"@woolworths Saw that, thank you very much"
"@BunkyFob Thanks for your reply. We'd love to help look into this for you, please PM us here - https://t.co/35uGu1zFrA to help us do so. We hope to hear from you soon!",@BunkyFob:1,1,"@woolworths Self checkout registers at my local store were replaced with the kind with cameras in them.

What are the cameras for?"
"@BunkyFob Hey there, we appreciate and thank you for your patience. Can you please PM us here - https://t.co/35uGu1zFrA with some more information of what happen so we can look into this further. Thanks.",@BunkyFob:2,2,"@RosewartTamara @woolworths Curious, they've told other people I know they don't use them... so it seemed a lot of down-time and expense for something they don't use."
"@CalCurious Hi there, thanks for getting in touch and we appreciate your patience with our response. We're sorry to hear you've seen customers and our team not wearing masks during your visit to our store, and appreciate you bringing this to our attention. 1/2",@CalCurious:1,1,
"@CalCurious We'd like to share this feedback with our team, however, we do need to grab some details. If you could please send us a DM that'd be great. Thanks, we look forward to hearing from you!  2/2",@CalCurious:2,2,
"@CampbellSher Hi Sher, as per the NSW Health guidelines, our staff are no longer required to wear a facemask while working, however, we still strongly encourage all staff to wear a facemask when they can’t social distance. We hope that you have a great night ahead.",@CampbellSher:1,1,At the @woolworths check out in Newcastle home of #superspreader event. Asked by maskless check out operator how are you today? I replied I would be happier if you wore a mask. Management told me he didn't need to wear a mask. What is going on @woolworths? https://t.co/mprrTLBivD
"@CarcassOfChrist Hi there, we're sorry to see you were receiving order notifications from another account. We'd surely look into this and if possible will contact the customer for updated contact details. In a DM, 1/2",@CarcassOfChrist:1,1,
"@CarcassOfChrist please send over your full name, email address and contact number registered in your online account for verification. Thanks for reaching out and we look forward to hearing back from you! 2/2",@CarcassOfChrist:2,2,
@CarcassOfChrist Thanks for the DM. Our team will review this and will get back to you as soon as they can. Have a lovely day!,@CarcassOfChrist:3,3,
"@CathCath77 Thank you for your reply and for your patience. We'd love to help with this further if you can please DM us letting us know your registered full name, email address and contact number if you have an online account with us. Hope to hear back from you soon!",@CathCath77:1,1,
"@Cattereia Can you please send us a Direct Message and let us know your order number, full name and email address, for account verification purposes? 2/3",@Cattereia:1,1,
@Cattereia We apologise for any inconvenience caused and are looking forward to hearing from you soon. Thanks. 3/3,@Cattereia:2,2,
"@Cattereia Hi Cattsy, thanks so much for getting back to us and for sending us a Direct Message. We've already responded to it. Thanks.",@Cattereia:3,3,
"@Cattereia Hi Cattsy, we appreciate you bringing to our attention that you've discovered on your statement a duplicate charge for your online order. Although, our customer service team is open until midnight, we'd be happy to assist you with your enquiry. 1/3",@Cattereia:4,4,
"@ChadwikoTWW Hi Chad, thanks for reaching out. We're sorry to hear about this, we'd like to look into this further. Could you please send us a DM of your order number, email address, and full name registered to the Online Account so that we can further address this for you? Thanks.",@ChadwikoTWW:1,1,
"@ChenhallKristy Hi Kristy, we're sorry to hear about your online order from the Cranebrook store. In a DM, could we please have the order number, your email address and contact number registered in your online account so that we can look into this for you? Hope to hear back from you soon!",@ChenhallKristy:1,1,WOOLWORTHS cranebrook. I get your busy but my order is now 2.5 hours over due and neither head office or woolworths cranebrook are answering. When i did try and speak to people they were either really rude or hung up on me. No communication from anyone at all.  @woolworths
"@ChrisFilmFan If you could please send us a DM and let us know the first and last name, email address and order number on your account, that'd be great. Thanks, we look forward to your reply! 2/2",@ChrisFilmFan:1,1,@woolworths Will be getting our money back as it seems no one knows where the delivery is.
"@ChrisFilmFan Hi Chris, thanks for getting in touch. We're sorry to hear you haven't received your order and apologise for the inconvenience caused. Especially it's been marked as delivered. We'd love to look into this for you, however, we do need to grab some details. 1/2",@ChrisFilmFan:2,2,@woolworths Sent. It is under my wife's name
"@ChrisJCaine Hi Chris, we're just responded to your Facebook post. Alternatively, you can DM us on Twitter with the information we've requested. Have a lovely weekend!",@ChrisJCaine:1,1,@woolworths what’s your policy on racial profiling? And who does one complain to?
"@Claudia42548969 Hi Claudia, thanks for reaching out. We're sorry for any confusion or inconvenience. However, we are Woolworths Australia. For enquiries to Woolworths South Africa please click on the link below: 
https://t.co/KhS50ZcOTe
We hope this helps, have a great day!",@Claudia42548969:1,1,
"@ColinASharp Hi Colin, you've contacted the Woolworths group in Australia to contact our South Africa stores you need to go to this link https://t.co/7w3NsFbhe4. Thanks!",@ColinASharp:1,1,"@woolworths failure of #customerservice: November 2020 our $300+ home delivery order was delivered to wrong address! Despite hours of ‘discussion’ &amp; (broken) promises yesterday same thing happened again!
@woolworths
#failureofservice shows poor #qualitycontrol https://t.co/cJpNCo1teg"
"@CraigBlazeitup Hi Craig, thanks for reaching out and bringing it to our attention. Please be assured that we've forwarded your feedback and we've requested to have the tickets for the products updated in all of our stores. We hope you enjoy the rest of your week!",@CraigBlazeitup:1,1,@woolworths how do u determine the community views on pencil cases..? A handful of complaints dictate ur policies? I don't think the majority would want u to change it.
"@CrowleysLambert Hi there, we're sorry to hear about your recent experiences. Could you please DM us the store you visited? Thanks, hope to hear from you soon!",@CrowleysLambert:1,1,
"@CryptoFamilyOz1 We'd like to look into this further, but we’ll need a few details for verification purposes. Can you please send us a DM with your full name, email address and order number linked to your online account? Thanks, we look forward to hearing from you. 2/2",@CryptoFamilyOz1:1,1,
"@CryptoFamilyOz1 Hi there, thanks for reaching out. We're sorry to hear about the issue you've had with your order being cancelled. We understand your disappointment and we're sorry for the inconvenience caused. 1/2",@CryptoFamilyOz1:2,2,
"@DConroytweets Hi Declan, thanks for getting in touch. We're sorry to hear about the delay with your order and apologise for the inconvenience caused. We'd love to look into this for you, however, we do need to grab some details. 1/2",@DConroytweets:1,1,"Hi @woolworths, what are the chances that my online order that was estimated to be delivered at 11am and has been waiting for a cab driver to accept the delivery since 2pm will be delivered today? I am isolating and rely on this food to get by. Please help!"
"@DConroytweets If you could please send us a DM and let us know the first and last name,  email address and order number on your account, that'd be great. Thanks, we look forward to your reply! 2/2",@DConroytweets:2,2,
@DPKennedy_au We apologise for any inconvenience caused and are looking forward to hearing from you soon. Thanks. 3/3,@DPKennedy_au:1,1,"Then we put in a delivery order, it shows up today on time via ‘delivery partner’ but only 1/4 of ordered items and the full amount charged to our card, no explanations again. @woolworths you have nearly $700 and we barely enough for dinner 2/2"
"@DPKennedy_au Hi Danny, thanks for your patience with our reply. We're sorry to hear that your Direct to boot order was cancelled before you meant to pick it up. We'd certainly like to look into this for you and also why you had missing items in your delivery order. 1/3",@DPKennedy_au:2,2,@woolworths I understand you may have staff and stock shortages right now but do you have to cancel our entire ‘direct to boot’ order just before pick up time? No explanations and still no refund 3 days later? 1/2
"@DPKennedy_au Can you please send us a Direct Message and provide the following information so we can assist you with your enquiry: your order number, full name and email address, for account verification purposes? 2/3",@DPKennedy_au:3,3,
"@Dav3Wyli3 Hey David, thanks for reaching out to us and we appreciate your patience. We'd love to help you with your enquiry, please DM us. We hope to hear from you soon!",@Dav3Wyli3:1,1,@woolworths Thanks for your follow up. Just sent you a message. Thanks!
"@Dav3Wyli3 Hi David, we’d still like to hear from you about this. We look forward to your reply soon. Thanks.",@Dav3Wyli3:2,2,@woolworths Where’s all the food gone? Fresh food section is empty! #food #SearchParty
"@Dav3Wyli3 Thanks for private messaging us, David. We'll reply to you as soon as possible!",@Dav3Wyli3:3,3,@littlevenicedog @lordsnooty @woolworths Oh wow! How’s the ears after listening to that hold music? Our delivery arrived 2hrs late but the representative credited our delivery fee. #winning
"@David11445036 Hi David, thanks for reaching out to us and we appreciate your patience while waiting for our reply. We're sorry to hear about the lack of Australia Day products in our Seaford store. We'd like to help. Can you please send us a Direct Message? We look forward to your reply.",@David11445036:1,1,@woolworths there were no australia day products in woolworths seaford store...stock shortage for sure...covid19 hits again...or is there just no forward planning to ensure there is enough stock to go around...
"@DavisConcept Hi Sally, thanks for bringing this Email Scam to our attention. This is definitely not from us, but instead from a business posing as Woolworths to potentially receive financial or personal information from you. 1/2",@DavisConcept:1,1,
"@DavisConcept We take data security and privacy seriously, and we regularly report such phishing scams to the ACCC's SCAMWatch and communicate warnings of such activity via our in-store signage, website and social accounts. Thanks for reaching out and have a lovely evening!",@DavisConcept:2,2,
"@DavisConcept We advise you to delete the email and block the sender, and not to click any links or attachments. If receiving suspicious contact is a recurring issue, please forward a screenshot to hoax@woolworths.com.au. Thanks!",@DavisConcept:3,3,
"@Difrycheulyd Can you please send us a Direct Message and let us know your order number, full name and email address, for account verification purposes? 2/3",@Difrycheulyd:1,1,
"@Difrycheulyd Hi Jonathon, we're sorry to hear about the situation you're in and wish you a speedy recovery. All our deliveries are contactless and we'd like to look into this matter further. 1/3",@Difrycheulyd:2,2,
@Difrycheulyd We apologise for any inconvenience caused and are looking forward to hearing from you soon. Thanks. 3/3,@Difrycheulyd:3,3,
"@DineshMathew Hey there, we're sorry to hear about this experience in our Keysborough. We'd like to look into this further, would you send us a DM with the time of your visit to the store? Thanks.",@DineshMathew:1,1,
"@Dmar117 Hi Derek, thanks for reaching out to us. We're sorry to see the hash browns. Please send us a DM with the exact product, store of purchase and the expiry date so we can look into this further. We look forward to hearing from you soon!",@Dmar117:1,1,@woolworths Hash brown was a broken piece. I am eating it as I am hungry but disappointed this was not spotted https://t.co/L1Mwzbssuk
"@DoloresTCartier Hi Dolly, thanks for contacting us in regards to your offer.  Can you please send us a DM so we can confirm your offer? We look forward to hearing from you.",@DoloresTCartier:1,1,
"@DoloresTCartier Hi Dolly, thanks for sending us a Direct Message. We've responded to it. Thanks.",@DoloresTCartier:2,2,
"@Don80907626 Hi there, thanks for reaching out to us. We're sorry to hear about your experience regarding the weighing of fruits and vegetables. We'd love to look into this. Can you provide the store name and details through a Direct Message? Thanks and we look forward to hearing from you.",@Don80907626:1,1,"@woolworths This happened at St Kilda West Fitzroy street store. Also it quite frequently happens at Woolies in Sunshine Plaza, Sunshine. Both these stores are in VIC."
"@DrKirrilly Hi Kirrilly, thanks for reaching out to us. We appreciate you contacting us regarding packaging. Please send us a DM so we can assist you further. We look forward to your response!",@DrKirrilly:1,1,@woolworths I'm puzzled why a certified organic product that aligns with the values of consumers who care for the environment would be made with three separate pieces of plastic when none of them are necessary? #plastic #waronwaste https://t.co/iWIU0idqON
