title,date_of_patent,patent_n,description,type,assignees,inventors
Dynamic route recommendation and progress monitoring for service providers,"April 12, 2022",1130041,"A network computing system can configure sets of expedition proposals for service providers, which are each selectable to commit the service provider to a dynamic expedition coordinated in real-time by the network computing system. Partitioned service areas may be scored in accordance with utilization conditions, and a dynamic trajectory can be generated based on the scored service areas for individual service providers. The network computing system can provide navigation instructions to the service provider along an updated recommended route based on the dynamic trajectory, until expiration of the dynamic expedition.
                        ",Grant,"UberTechnologies,Inc.","Awaneesh Verma, Ashley Quitoriano, Dor Levi, Emily Reinhold, Junjia He, Rei Chiang, Shicong Meng"
Light electric vehicle defect management based on user profiles,"April 5, 2022",1129555,"The present disclosure describes a system for detecting, identifying and addressing a maintenance event for light electric vehicles. The maintenance event may be detected based on rider profile information, riding parameter information and light electric vehicle information. If a maintenance event is detected, a light electric vehicle management system may determine an action that addresses the maintenance event and provide instructions regarding the action to the light electric vehicle and/or one or more individuals that are trained or otherwise certified to address the maintenance event.
                        ",Grant,"UberTechnologies,Inc.","Ashley Cooper, Mattis Fjallstrom"
Lost device detection using geospatial location data,"March 22, 2022",1128421,"A network system detects lost client devices based on a comparison of geospatial locations transmitted by user and provider client devices during and after a service. The network system assigns a service status indicating that a service from a start location to a destination location is in progress and monitors the locations of the user and provider client devices during the duration of the service and for a specified period of time after the service ends. In response to determining that the user and provider client devices remain in proximity to each other after the service has ended, the network system notifies the user of the lost device.
                        ",Grant,"UberTechnologies,Inc.","Karna Chokshi, Michael O'Herlihy, Zach Singleton"
Pre-computed service metric lookup for a network-based service,"March 15, 2022",1127580,"A network system for managing a network-based service (e.g., an on-demand transport service) is configured to pre-compute, based on historical data, a plurality of service metrics that are maintained in a searchable database. In response to user interaction with a user application to view available service options, the user application can cause session data indicating start and service locations to be transmitted to the network system. In response, the network system can translate the start and service locations to a first and second search keys, respectively. The search keys can be used to query the database for the relevant service metric for the session. The network system can transmit the relevant service metric to the user device to enable the user device to display information relating to the session (e.g., a price for requesting the network-based service) that is based at least in part on the relevant service metric.
                        ",Grant,"UberTechnologies,Inc.","Jun Jiang, Daniel Bilen, Sergey Gitlin, James Lee, Lisa Guo, Qing Feng, Songyan Hou, Ximing Chen, Atul Kakkur"
Data restoration for datacenter failover,"March 15, 2022",1127746,"A failover system can receive active data from user devices running an application specific to a service entity providing an application service. For each user device, the active data can indicate a current status. The failover system can transmit restoration data to the user devices for storage to restore the current status of the user devices in the case of a failover event. When a failover event occurs, the failover system can recover the restoration data from a first user device to restore the current status of the application service for the first user device.
                        ",Grant,"UberTechnologies,Inc.","Nikunj Aggarwal, Joshua Corbin"
Method and system for ultrasonic proximity service,"March 15, 2022",1127720,"A network service can detect an ultrasonic signal by an ultrasonic receptive component of a first device. The ultrasonic signal can be based on an ultrasonic output signal transmitted from an audio output component. In response to the detected ultrasonic signal, the network service can perform a network service operation.
                        ",Grant,"UberTechnologies,Inc.",Fahrettin Olcay Cirit
NETWORK COMPUTER SYSTEM TO CONTROL FREIGHT VEHICLE OPERATION CONFIGURATIONS,"March 10, 2022",2022007307,"In some examples, a network computer system can monitor a plurality of mobile computing devices to determine a current location of a corresponding freight operator of a plurality of freight operators. The network computer system can record the current location of each of the plurality of freight operators in a data store of the set of memory resources. Additionally, the network computer system can repeatedly query the data store to determine when at least two freight operators of the plurality of freight operators that satisfy a set of drafting conditions. The set of drafting conditions including a proximity condition as between the at least two freight operators and a candidate commencement location. In response to the determination, the network computer system can implement a drafting arrangement between the at least two freight operators.
                        ",Application,"UberTechnologies,Inc.","Luis Madrigal, Eyal Lasker, Padmini Pyapali"
User-specific landmarks for navigation systems,"March 8, 2022",1126882,"A server identifies landmarks associated with users as the users take part in trips or otherwise interact with a navigation system. The server causes presentation of the identified landmarks to the users during future trips, such as part of navigational directions along a route to a particular destination, or on a visible portion of a map user interface. Presentation of the user-specific landmarks allows the users with more context and thus the ability to better navigate.
                        ",Grant,"UberTechnologies,Inc.","Christopher Moore, Vincent Dumont, Mathieu Courtemanche, Cady Wachsman, John Christopher O'Hare"
Determining service provider performance with ranged transmissions,"March 8, 2022",1127234,"A network system receives an order request from a requesting device including a list of requested items and a delivery location. The network system may create an order entry by selecting a source location and a provider for the order. The network system sends order information from the order entry to a provider device of the selected provider and a source device corresponding to the source location, where the order information includes an order identifier, a source identifier, and a provider identifier. The provider device broadcasts a beacon including the source identifier and the order identifier. The provider device detects a short range beacon signal from the source device and determines whether the detected source identifier and order identifier match the received source identifier and order identifier from the order information. Responsive to a successful match the provider device verifies its proximity to the source device.
                        ",Grant,"UberTechnologies,Inc.","Katherine Swanson, Zachary Tyler Stewart, Erick Chang"
Point of interest based pickup coordination system,"March 8, 2022",1126882,"Systems and methods for coordinating point of interest pickups in a transportation service are provided. In example embodiments, the system detects a location of a device of a user. Responsive to detecting the location of the device of the user, the system automatically determines one or more potential pickup points based on the detected location. A pickup point user interface (UI) that displays one or more potential pickup points based on the detected location is presented on the device of the user without displaying a map. The system receives confirmation of a pickup point from the one or more potential pickup points and receives an indication of a destination. The system then establishes the transportation service based on the confirmed pickup point and the destination. The system can provide user interfaces that display progress of a driver to the pickup point and progress to the destination without displaying a map.
                        ",Grant,"UberTechnologies,Inc.","Srikanth Jalasutram, Anurag Arora, Needa Jamil, Sidharth Raja"
