title,date_of_patent,patent_n,description,type,assignees,inventors
Dynamic route recommendation and progress monitoring for service providers,"April 12, 2022",1130041,"A network computing system can configure sets of expedition proposals for service providers, which are each selectable to commit the service provider to a dynamic expedition coordinated in real-time by the network computing system. Partitioned service areas may be scored in accordance with utilization conditions, and a dynamic trajectory can be generated based on the scored service areas for individual service providers. The network computing system can provide navigation instructions to the service provider along an updated recommended route based on the dynamic trajectory, until expiration of the dynamic expedition.
                        ",Grant,"UberTechnologies,Inc.","Awaneesh Verma, Ashley Quitoriano, Dor Levi, Emily Reinhold, Junjia He, Rei Chiang, Shicong Meng"
Light electric vehicle defect management based on user profiles,"April 5, 2022",1129555,"The present disclosure describes a system for detecting, identifying and addressing a maintenance event for light electric vehicles. The maintenance event may be detected based on rider profile information, riding parameter information and light electric vehicle information. If a maintenance event is detected, a light electric vehicle management system may determine an action that addresses the maintenance event and provide instructions regarding the action to the light electric vehicle and/or one or more individuals that are trained or otherwise certified to address the maintenance event.
                        ",Grant,"UberTechnologies,Inc.","Ashley Cooper, Mattis Fjallstrom"
Lost device detection using geospatial location data,"March 22, 2022",1128421,"A network system detects lost client devices based on a comparison of geospatial locations transmitted by user and provider client devices during and after a service. The network system assigns a service status indicating that a service from a start location to a destination location is in progress and monitors the locations of the user and provider client devices during the duration of the service and for a specified period of time after the service ends. In response to determining that the user and provider client devices remain in proximity to each other after the service has ended, the network system notifies the user of the lost device.
                        ",Grant,"UberTechnologies,Inc.","Karna Chokshi, Michael O'Herlihy, Zach Singleton"
Pre-computed service metric lookup for a network-based service,"March 15, 2022",1127580,"A network system for managing a network-based service (e.g., an on-demand transport service) is configured to pre-compute, based on historical data, a plurality of service metrics that are maintained in a searchable database. In response to user interaction with a user application to view available service options, the user application can cause session data indicating start and service locations to be transmitted to the network system. In response, the network system can translate the start and service locations to a first and second search keys, respectively. The search keys can be used to query the database for the relevant service metric for the session. The network system can transmit the relevant service metric to the user device to enable the user device to display information relating to the session (e.g., a price for requesting the network-based service) that is based at least in part on the relevant service metric.
                        ",Grant,"UberTechnologies,Inc.","Jun Jiang, Daniel Bilen, Sergey Gitlin, James Lee, Lisa Guo, Qing Feng, Songyan Hou, Ximing Chen, Atul Kakkur"
Data restoration for datacenter failover,"March 15, 2022",1127746,"A failover system can receive active data from user devices running an application specific to a service entity providing an application service. For each user device, the active data can indicate a current status. The failover system can transmit restoration data to the user devices for storage to restore the current status of the user devices in the case of a failover event. When a failover event occurs, the failover system can recover the restoration data from a first user device to restore the current status of the application service for the first user device.
                        ",Grant,"UberTechnologies,Inc.","Nikunj Aggarwal, Joshua Corbin"
Method and system for ultrasonic proximity service,"March 15, 2022",1127720,"A network service can detect an ultrasonic signal by an ultrasonic receptive component of a first device. The ultrasonic signal can be based on an ultrasonic output signal transmitted from an audio output component. In response to the detected ultrasonic signal, the network service can perform a network service operation.
                        ",Grant,"UberTechnologies,Inc.",Fahrettin Olcay Cirit
NETWORK COMPUTER SYSTEM TO CONTROL FREIGHT VEHICLE OPERATION CONFIGURATIONS,"March 10, 2022",2022007307,"In some examples, a network computer system can monitor a plurality of mobile computing devices to determine a current location of a corresponding freight operator of a plurality of freight operators. The network computer system can record the current location of each of the plurality of freight operators in a data store of the set of memory resources. Additionally, the network computer system can repeatedly query the data store to determine when at least two freight operators of the plurality of freight operators that satisfy a set of drafting conditions. The set of drafting conditions including a proximity condition as between the at least two freight operators and a candidate commencement location. In response to the determination, the network computer system can implement a drafting arrangement between the at least two freight operators.
                        ",Application,"UberTechnologies,Inc.","Luis Madrigal, Eyal Lasker, Padmini Pyapali"
User-specific landmarks for navigation systems,"March 8, 2022",1126882,"A server identifies landmarks associated with users as the users take part in trips or otherwise interact with a navigation system. The server causes presentation of the identified landmarks to the users during future trips, such as part of navigational directions along a route to a particular destination, or on a visible portion of a map user interface. Presentation of the user-specific landmarks allows the users with more context and thus the ability to better navigate.
                        ",Grant,"UberTechnologies,Inc.","Christopher Moore, Vincent Dumont, Mathieu Courtemanche, Cady Wachsman, John Christopher O'Hare"
Determining service provider performance with ranged transmissions,"March 8, 2022",1127234,"A network system receives an order request from a requesting device including a list of requested items and a delivery location. The network system may create an order entry by selecting a source location and a provider for the order. The network system sends order information from the order entry to a provider device of the selected provider and a source device corresponding to the source location, where the order information includes an order identifier, a source identifier, and a provider identifier. The provider device broadcasts a beacon including the source identifier and the order identifier. The provider device detects a short range beacon signal from the source device and determines whether the detected source identifier and order identifier match the received source identifier and order identifier from the order information. Responsive to a successful match the provider device verifies its proximity to the source device.
                        ",Grant,"UberTechnologies,Inc.","Katherine Swanson, Zachary Tyler Stewart, Erick Chang"
Point of interest based pickup coordination system,"March 8, 2022",1126882,"Systems and methods for coordinating point of interest pickups in a transportation service are provided. In example embodiments, the system detects a location of a device of a user. Responsive to detecting the location of the device of the user, the system automatically determines one or more potential pickup points based on the detected location. A pickup point user interface (UI) that displays one or more potential pickup points based on the detected location is presented on the device of the user without displaying a map. The system receives confirmation of a pickup point from the one or more potential pickup points and receives an indication of a destination. The system then establishes the transportation service based on the confirmed pickup point and the destination. The system can provide user interfaces that display progress of a driver to the pickup point and progress to the destination without displaying a map.
                        ",Grant,"UberTechnologies,Inc.","Srikanth Jalasutram, Anurag Arora, Needa Jamil, Sidharth Raja"
System and methods to enable user control of an autonomous vehicle,"March 8, 2022",1126932,"Systems and methods for providing a user control of an autonomous vehicle to enable the user to assist the autonomous vehicle. In one example embodiment, a computer implemented method includes identifying, by a computing system comprising one or more computing devices, an occurrence of an event associated with an autonomous vehicle. The event can hinder an ability of the autonomous vehicle to operate in an autonomous operating mode. In response to the occurrence of the event associated with the autonomous vehicle, the method includes determining, by the computing system, a user to operate the autonomous vehicle based at least in part on a profile associated with the user. The method includes providing, by the computing system, one or more control signals to cause the autonomous vehicle to enter into an operating mode that allows the user to operate the autonomous vehicle.
                        ",Grant,"UberTechnologies,Inc.",Scott C. Poeppel
DYNAMICALLY ADJUSTING ACCESS POLICIES,"March 3, 2022",2022007017,"A method of dynamically adjusting access privileges of system identities. A set of access logs associated with a system are analyzed in order to generate a restricted access policy for an over privileged system identity. An initial access policy of the system identity is replaced with the restricted access policy and a continuous monitoring and access management (CMAM) service is initiated. Access logs are collected for a monitoring time window and an access denied error can be extracted from the access logs. The access denied error can be compared to an ignore list and/or the access denied error can be added to the ignore list. Authorization checks can be performed to determine if the action associated with the access denied error is authorized. If the action is authorized, the access policy is adjusted to allow for performance of the action.
                        ",Application,"UberTechnologies,Inc.",Ashish Kurmi
Light electric vehicle defect management,"March 1, 2022",1126383,"The present disclosure describes a system for detecting, identifying and addressing a maintenance event for light electric vehicles. The maintenance event may be detected based on rider profile information, riding parameter information and light electric vehicle information. If a maintenance event is detected, a light electric vehicle management system may determine an action that addresses the maintenance event and provide instructions regarding the action to the light electric vehicle and/or one or more individuals that are trained or otherwise certified to address the maintenance event.
                        ",Grant,"UberTechnologies,Inc.",Daniel Andrew Sussna
Target addressing system,"March 1, 2022",1126390,"A system can receive a request for a service from the computing device of a given user of the network service. Based on the request, the system can determine a vehicle stopping location for a driver of a vehicle that is to service the request, and transmit map data to the computing device of the driver to present map content indicating (i) the vehicle stopping location for a vehicular portion of the service, and (ii) a path for the driver from the vehicle stopping location to a target location, the path to be followed by the driver upon parking the vehicle at the vehicle stopping location. The system can further transmit a set of delivery instructions to the computing device of the driver to specify one or more actions for delivering an item to the given user at a location specified by the given user.
                        ",Grant,"UberTechnologies,Inc.",Matthew Sweeney
System for provisioning racks autonomously in data centers,"February 22, 2022",1125866,"A provisioning system autonomously and asynchronously brings up data center racks. In an embodiment, the provisioning system determines presence of a first and second device connected to a network. The provisioning system generates a first and second thread for validation of the first and second devices, respectively. Responsive to determining by the first thread that the first device is not validated, the provisioning system notifies a detection system that the validation of the first device has not passed. Responsive to determining by the second thread that the second device is validated, the provisioning system provisions the second device for integration with one or more provisioned devices on the network.
                        ",Grant,"UberTechnologies,Inc.","Vasileios Lakafosis, Robin Bassant, Harshmeet Singh"
Multi-mode message transmission for a network-based service,"February 15, 2022",1125222,"A computing system can manage a network-based service for a given region by receiving service requests from user devices of users and matching the requesting users with available providers. The computing system can receive service requests, including a first service request from a first user device, and identify a set of candidate providers that includes a first provider and a second provider. The computing system can transmit invitations to the first provider's device, including a first invitation for first provider to fulfill the first service request, and transmit invitations to the second provider's device, including a second invitation for second provider to fulfill the first service request. In response to receiving respective acceptances for the first service request from the first and second provider devices, the computing system can determine whether to select the first provider or the second provider to fulfill the first service request.
                        ",Grant,"UberTechnologies,Inc.","Kevin Brinig, Kartik Murthy"
Vehicle integration platform (VIP) security,"February 15, 2022",1125197,"The present disclosure is directed to systems and methods associated with a communication infrastructure. The communication infrastructure includes a vehicle integration platform that includes a plurality of application programming interfaces configured to facilitate message communication among clients. The communication infrastructure includes a registration authority system configured to receive certificate signing requests from the clients and to generate client-specific credentials for establishing a predetermined time period of ability for client authentication within the vehicle integration platform. The communication infrastructure includes a certificate authority system configured to normalize requests received from the clients via the registration authority system such that the client-specific credentials are established according to an approved hierarchy of licensing certificates.
                        ",Grant,"UberTechnologies,Inc.","Matthew James Way, David G. Butler, Roman Kuzmenko, Matthew Charles Ellis Wood, Andrii Iasynetskyi, Mark Yen, Meenakshi Vohra"
Freight network system using modularized trailers,"February 15, 2022",1125037,"A computer system receives a freight request from a shipper, where the freight request specifies a destination for a load of the shipper. The computer system implements a selection process to select a freight operator to haul a corresponding trailer of the trailer module from a location of the shipper to a destination. The trailer module may be monitored using information transmitted from the trailer, to determine when the trailer is picked up and/or delivered at the destination.
                        ",Grant,"UberTechnologies,Inc","Maxwell MacGavin Pike, William Driegert, Robert Gestie Chappuis, Eric Daniel Berdinis, Anne Canfield Kadavy, Lior Ron"
Hierarchical selection process,"February 15, 2022",1125053,"A network computer system can implement a hierarchical selection process to fulfill the scheduled transport request. The hierarchical selection process can include a first selection process and a second selection process. The first selection process can include assigning a transport provider to fulfill the scheduled transport request. Additionally, the first selection process can include disassociating the transport provider with the scheduled transport request upon determining that the transport provider is unable to fulfill the scheduled transport request at the scheduled time. The second selection process can be implemented at a specified time prior to the scheduled time and can include selecting a backup transport provider.
                        ",Grant,"UberTechnologies,Inc.","Russell Dicker, Qinming Fang, Vincent Yates, Thomas Fallows, Marc Pottier, Michael Reckhow"
User-configurable indication device for use with an on-demand transport service,"February 8, 2022",1124199,"An indication device for a vehicle of a service provider associated with a transport service includes an output device and a communication interface for establishing a communication link with a provider device of the service provider. The communication interface can receive, via the communication link, a set of output configuration data associated with a request for the transport service to cause the output device to transition from outputting a default configuration to outputting the output configuration based on a determined state of the service provider or the transport service.
                        ",Grant,"UberTechnologies,Inc.","Travis Kalanick, Shalin Amin"
Network computer system to generate voice response communications,"February 8, 2022",1124468,"A network computer system for managing a network service (e.g., a transport service) can include a voice-assistant subsystem for generating dialogues and performing actions for service providers of the network service. The network computer system can receive, from a user device, a request for the network service. In response, the network computer system can identify a service provider and transmit an invitation to the provider device of the service provider. In response to the identification of the service provider for the request, the voice-assistant subsystem can trigger an audio voice prompt to be presented on the provider device and a listening period during which the provider device monitors for an audio input from the service provider. Based on the audio input captured by the provider device, the network computer system can determine an intent corresponding to whether the service provider accepts or declines the invitation.
                        ",Grant,"UberTechnologies,Inc.","Lawrence Benjamin Goldstein, Arjun Vora, Gokhan Tur, Manisha Mundhe, Xiaochao Yang"
Passenger walking points in pick-up/drop-off zones,"February 8, 2022",1124457,"Systems and methods are provided for finding an available pickup/drop-off zone (PDZ) for an autonomous vehicle (AV) to use to pick up a passenger. A PDZ is selected that is likely to be available and that is within a reasonable walking distance of a passenger. The AV and the passenger are guided to the available PDZ. In selecting the available PDZ, the system balances the human and vehicle routing by taking into account the distance possible PDZs are from the passenger, the likelihood the respective PDZs will be available, the passenger's desire/ability to walk to the respective PDZs (e.g., due to physical limitations, weather, etc.), the driving time of the AV to the respective PDZs, the walking time of the passenger to the respective PDZs, and the like.
                        ",Grant,"UberTechnologies,Inc.","Shenglong Gao, Konrad Julian Niemiec, Jay A. Chen, Mark Yen"
Indexing documents in a nested hierarchy of directories,"February 8, 2022",1124391,"An online storage system receives a plurality of documents to be stored in a directory. The storage system stores document data from each document in a document database. The storage system generates an entry for each document in an entry table and indexes the documents stored in the directory. The storage system samples a subset of the plurality of documents assigned to the directory in a directory index to determine a sampled subset of the plurality of documents. The storage system indexes the sampled subset in a directory index. The storage system can receive a request, from a client device, to view the indexed documents in the directory. Responsive to the request, the storage system presents the indexed documents in the directory retrieved from the directory index.
                        ",Grant,"UberTechnologies,Inc.","Jakob Holdgaard Thomsen, Rene Wenzel Schmidt, Joakim Recht, Zura Kutsia, Alexey Pavlenko"
Methods and systems for configuring vehicle communications,"February 1, 2022",1123757,"The present disclosure is directed to configuring vehicle communications. In particular, a computing system comprising one or more computing devices physically located onboard a vehicle can communicate a plurality of different and distinct types of information associated with the vehicle to a remotely located computing system via a data stream transmitted from the vehicle to the remotely located computing system. The computing system can determine one or more changes in at least one of a mode, state, or context of the vehicle, and responsive to determining the change(s), the computing system can modify one or more parameters of the data stream transmitted from the vehicle to the remotely located computing system.
                        ",Grant,"UberTechnologies,Inc.","Steve Ayers, Matthew James Way"
Staged rollout framework for feature release,"January 18, 2022",1122680,"An application update system performs staged rollouts to push new versions or features of applications to users quickly and with minimal negative impact to the users. The application update system allocates users of an application to populations. The populations specify a subset of users to receive a feature update for the application. The application update system performs a staged rollout of the feature update by iteratively pushing the feature update to the identified subset of users, monitoring the performance of the feature update, and, based on the performance, the application update system reallocates users to populations. For example, when the feature update performs successfully, the application update system allocates additional users to receive the feature update. When all users of the application have received the feature update, the staged rollout is designated as complete.
                        ",Grant,"UberTechnologies,Inc.","Zhenyu Zhao, Mandie Liu, Anirban Deb, Akash Parikh, Sisil Mehta"
Coordinating on-demand transportation with autonomous vehicles,"January 11, 2022",1122238,"An on-demand transport facilitation system can receive transport requests from requesting users throughout a given region, and select autonomous vehicles (AVs) and human driver to service the transport requests. The AV can operate on a mapped and labeled autonomy grid within the given region. For a given transport request, the transport system can determine an optimal pick-up location along the autonomy grid based on the current location of the requesting user and a current location of a selected AV, and transmit data indicating walking directions from the current location of the requesting user to the optimal pick-up location. The transport system may then coordinate the rendezvous by monitoring progress made by the requesting user and AV to the optimal pick-up location, and controlling the pace of the AV.
                        ",Grant,"UberTechnologies,Inc.","Matthew Sweeney, Anthony Levandowski"
Optimizing service requests in transport supply-constrained sub-regions,"January 4, 2022",1121677,"A system can implement a delivery service for a service region by monitoring, for each respective sub-region of the service region, supply conditions corresponding to transport providers available to deliver menu items from menu item suppliers to requesting users. When the supply conditions have dropped below the equilibrium threshold for a respective sub-region, the system can initiate a supply-constrained mode for the respective sub-region in which the system inputs each respective menu item request received, corresponding to a delivery location within the respective sub-region, into a queue, and dynamically determines a fulfillment probability for the respective menu item request. When the fulfillment probability of the respective menu item request exceeds a fulfillment threshold, the system can transmit the respective menu item request to a corresponding menu item supplier for preparation of a corresponding menu item and coordinate delivery of the corresponding menu item to the requesting user.
                        ",Grant,"UberTechnologies,Inc.","David Bivins, Jason Wien, Daniel Wang, Benjamin Morris Dreier, Pierce Cunneen"
Autonomous vehicle positioning for trip optimization,"January 4, 2022",1121547,"Techniques are provided for determining where to position vehicles for trip optimization or where to map roads for use by autonomous or semi-autonomous vehicles. The techniques include identifying, from historical trip data, common pickup and drop-off points within a geographical area where respective geohashes are used as nodes in the geographical area. A number of trips between respective nodes in the geographical area within a predetermined time frame define edges between respective nodes in the geographic area. The nodes and edges for the geographic area are processed to score each node to identify most active nodes within the geographic area as potential pickup/drop-off zones. The top k potential pickup-drop-off zones are evaluated for suitability as a pickup/drop-off zone, and lane IDs, suitable pickup/drop-off zones, and/or trip lists derived from the historical trip data are provided for use in positioning vehicles or mapping roads.
                        ",Grant,"UberTechnologies,Inc.","Sri Kanajan, Andrew Raymond Sturges"
Dynamically adjusting access policies,"December 14, 2021",1120187,"A method of dynamically adjusting access privileges of system identities. A set of access logs associated with a system are analyzed in order to generate a restricted access policy for an over privileged system identity. An initial access policy of the system identity is replaced with the restricted access policy and a continuous monitoring and access management (CMAM) service is initiated. Access logs are collected for a monitoring time window and an access denied error can be extracted from the access logs. The access denied error can be compared to an ignore list and/or the access denied error can be added to the ignore list. Authorization checks can be performed to determine if the action associated with the access denied error is authorized. If the action is authorized, the access policy is adjusted to allow for performance of the action.
                        ",Grant,"UberTechnologies,Inc.",Ashish Kurmi
Dynamic scheduling system for planned service requests,"December 7, 2021",1119683,"A computer system monitors a set of computing resources of a user to determine a planned user event, as well as a set of service parameters for the planned user event. The computer system may further schedule a service request for the planned user event, based at least in part on the event location. Additionally, the computer system may perform an action on behalf of the user with respect to initiating the service request at a scheduled time.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Gang Cheng, Jason Chionh, Jonathan Kantrowitz, Oren Freiberg, Juncao Li, Jie Zhang"
Providing on-demand services through use of portable computing devices,"November 30, 2021",1118895,"A computer system operable to communicate with each of a plurality of provider computing devices to obtain location information. The computer system can determine multiple types of dynamic values for a given geographic region by (i) receiving set of data from a computing device operated by a requester, the set of data indicating a current location of the requester, (ii) determining a first set of dynamic values based at least in part on location information communicated by multiple provider computing devices of the plurality of provider computing devices that are associated with a first service type, and (iii) determining a second set of dynamic values based at least in part on the current location of the requester and location information communicated by one or more of the multiple provider computing devices that are associated with the first service type. Each of the multiple types of dynamic values being associated with one of the multiple possible service types.
                        ",Grant,"UberTechnologies,Inc.","Shalin Amin, Mina Radhakrishnan, Paul-Phillip Holden, Curtis Chambers"
Dynamic vertiport configuration,"November 16, 2021",1117683,"A vertiport system dynamically updates configuration of a vertiport based on predicted usage of the vertiport during a given time frame. The vertiport system predicts vertiport usage using flight data and estimated passenger demands and determines a desired number of parking pads and a desired number of final approach and takeoff (FATO) pads for the vertiport during the time frame. Based on the desired number of parking pads and the desired number of FATO pads for the vertiport, the vertiport system determines an updated configuration of the vertiport. According to the updated configuration, the vertiport system updates the configuration of the vertiport for at least a portion of the time frame.
                        ",Grant,"UberTechnologies,Inc.","Jon David Petersen, Rex J. Alexander, Stanley Stephen Swaintek, III"
Network computer system to evaluate an operator of a freight vehicle,"November 16, 2021",1117682,"A computer system can determine historical interval data of a freight operator from completed freight service requests associated with the freight operator. Additionally, while the freight operator is fulfilling a current freight service request, the computer system can determine at least a first likely downtime interval for a non-operating activity of the freight operator prior to the freight operator arriving at a pickup location or a destination location of the current freight service request, based on the historical interval data. Also, the computer system can determine an estimated arrival time for the freight operator to arrive at the pickup location or the destination location of the current freight service request, based at least in part on the first likely down time interval. Moreover, the computer system can update a record associated with the freight operator to reflect the estimated arrival time.
                        ",Grant,"UberTechnologies,Inc.","Luis Madrigal, Eyal Lasker, Xiao Guo, Padmini Pyapali, Tony Ran Zhang"
Intelligent regularization of neural network architectures,"November 2, 2021",1116407,"A trained computer model includes a direct network and an indirect network. The indirect network generates expected weights or an expected weight distribution for the nodes and layers of the direct network. These expected characteristics may be used to regularize training of the direct network weights and encourage the direct network weights towards those expected, or predicted by the indirect network. Alternatively, the expected weight distribution may be used to probabilistically predict the output of the direct network according to the likelihood of different weights or weight sets provided by the expected weight distribution. The output may be generated by sampling weight sets from the distribution and evaluating the sampled weight sets.
                        ",Grant,"UberTechnologies,Inc.","Zoubin Ghahramani, Douglas Bemis, Theofanis Karaletsos"
Computer system arranging transport services for users based on the estimated time of arrival information,"November 2, 2021",1116427,"A computer system can receive pre-requests for transport from computing devices of users while the users are utilizing a transit service. Each pre-request can specify a start location and a destination for the user. The system can remotely monitor location data from the computing device of the user to determine a current position of the user as the user utilizes the transit service to travel towards the start location, and repeatedly compare (i) a first estimated time of arrival (ETA) of the user to arrive at the start location based, at least in part, on the current position of the user, to (ii) a second ETA, associated with an available vehicle, to arrive at the start location based at least in part on a vehicle position of the available vehicle. Based on this information, the computer system may then automatically select the available vehicle to transport the user.
                        ",Grant,"UberTechnologies,Inc.","Nuri Kim, Christopher Haugli, Rachel Lin, Hasrat Godil, Jeffrey Wolski, Amos Barreto"
Providing alternative routing options to a rider of a transportation management system,"November 2, 2021",1116280,"A transportation management system coordinates the transportation of riders by drivers integrated with the system. To provide control to the rider of the route used during a trip provided by a given driver, the transportation management system computes several alternative routing options between the trip's origin location and destination location. These alternative routing options may be computed according to the rider's preferences and/or based on different optimization functions that optimize various trip parameters, for example, cost, time, traffic, and distance. The rider selects one of the alternative routing options as the preferred route between the origin location and the destination location. The transportation management system automatically communicates the routing option selected by the rider to the driver without requiring the rider to personally tell the driver of her preference.
                        ",Grant,"UberTechnologies,Inc.","John Christopher O'Hare, Maya Paritosh Choksi, Evelyn Kim"
Dynamically computing load balancer subset size in a distributed computing system,"November 2, 2021",1116586,"A distributed computing system uses dynamically calculates a subset size for each of a plurality of load balancers. Each of a plurality of load balancers logs requests from client devices for connections to back-end servers and periodically sends a request report to a traffic aggregator, which aggregates the report requests from the load balancers in the corresponding zone. Each traffic aggregator sends the aggregated request data to a traffic controller, which aggregates the request data to determine a total number of requests received at the system. The total request data is transmitted through each traffic aggregator to each load balancer instance, which calculates a percentage of the total number of requests produced by the load balancer and determines a subset size based on the calculated percentage.
                        ",Grant,"UberTechnologies,Inc.","Prashant Varanasi, Chien-Chih Liao, Simon Jeffrey Newton"
