rating,review,recommended,pros,cons
2,Won't accept any other insurance companies except Zego,True,You can work when you want.,"They won't accept insurance from any other company except Zego insurance who charge me €1.10 per hour, eventhough I got a letter from AXA Insurance stating that they were covering me to do food deliveries at no extra charge to my current insurance policy."
3,Salary,True,can earn decent money and be flexible in hours,sometimes you wont get orders and its difficult to cyle in the cole
3,It's all on yourself,True,"easy to get in the business, but hard to make money",no comment. everything on yourself
4,Good side hustle,True,Make good money if driving in good areas,"Not consistent, wear and tear on vehicle"
3,What you'd expect,True,Pick when you'd like to work,College students do not tip well
3,Good On the Go Job,True,Quick Money Easy Work Remote,Vehicle Damage and gas could become hectic but manage your money and your good
5,Uber,True,Great job well paid alot of millage lol,Making my own schedule. Flexible hours
5,Oui,True,GOOD FOR PARTIAL TIME JOB,Very good job decent wage
5,Great company,True,Is very good job with some one like me going to schedule and works full time,Great experience help me a lot and my family
5,Good,True,You get Paid on daily basis,You work more than normal
5,Make your own hours,True,"Work the schedule you want.

You are your own boss

great pay

Great Passengers mostly","Rude Riders at times

High Mileage on vehicle 

high gas prices

car maintenance 

actual compensation may be off with tips"
5,Good opportunities,True,"Very good process training and less hectic work

Will maintain work life balance. Extra reimbursement every month around 4k like uber credits and wellbeing reimbursement

Free food in office",Salary should have been better
4,Flexible,True,"-it's flexible

-good bonus

-helpful customer service",-they aren't consistent with requirements
4,Software engineer,True,Very Good place to work.,Nothing much as of now
3,Working at Uber,True,"good salary, friendly people, good benefits. Wo","A lot of misscomunication between leaders and agents, the way to work is (sometimes) disorganized. days off and schedules are not good at all and no good options are offered when you are a nuber."
3,Uber driver and Uber eats,True,Fast in customer service and possible to make good money at times.,The app is having problems and I want to leave Uber.
4,Cut-throat but exciting,True,Highly skilled and ambitious colleagues.,Incentive structure encouraged political back stabbing which was rampant at the time.
4,Sales Representative,True,"Young people , changes happen a lot, cool","Changes happen a lot, so its hard to keep up"
4,Uber eats driver,True,Making your own hours and the tips,Slow days can be really bad
3,Non-Transparent on Delivery Locations,True,"Flexible hours, process is simple","Fails to share where you will be delivering to, especially relevant if delivering to areas with poor road conditions and access or dangerous to drivers"
5,Uber,True,Work whenever you want to work,Customer service is usually hard to reach or understand
5,Excellent organization,True,"Professional Development, Sportiveness to work, Competitive, Discipline, Freedom, Perks &amp; Benefits, Shift Allowance, Variable pay, Job Security.",Nothing found till now. No issues. All good.
5,Great Place to work,True,"Inclusive company, empathic leaders, great teamwork",Lack of prioritizing projects sometimes
5,Working at Uber Nepal,True,"- Hands on Learning

- Exposure

- Inclusivity for everyone","Very new, Nothing as of now"
5,is ez,True,"choosing my own schedule is pretty great. Also, you see the upfront tip since uber updated it.",they send you some crappy delivery offers. you can decline them tho
5,Best Company to work for!,True,"-Great company culture

-Great Benefits

-Room to grow

-Great team!",-too many internal meetings sometimes
5,Great place to work at,True,"Employee Friendly company

Lot of importance given to employees well being",None. I think it's a great opportunity to be able to work for a company like Uber
4,Good Company Overall,True,"1. Sweet coworkers

2. great cafe","1. long work hours

2. down level"
4,great if you learn the basics,True,lot of freedom to look for insights,some people are more concerned with paper pushing than disrupting
3,Valuable experience,True,"- a very friendly atmosphere in the team (everybody is willing to help you with everything, even with not work-related)

- benefits (paid meal, discount + monthly budget for trips, snacks in the office)

- place for self-growth and education","- recognition in the company could be more motivational 

- politics of higher management, no straight communication

- too many reorg and change of direct management

- no place for promotion (you need to transfer to another departm. team or switch role in order to be promoted)

- only basic 20 days of vacation (not so competitive in comparison with other similar positions in different companies)"
3,"Money is okay, but they’re greedy and don’t care about their drivers in the slightest.",True,"Flexible schedule, okay money, limited socialization. Not much else.","They lie about travel times to get you to accept orders that are cheap. The base pay is practically NOTHING and I rely on people’s tips, which ends up being over 50% of what I make. They also take more than half of the delivery fee that is charged to the customer. Pay us what we deserve."
3,Hyper growing pains,True,Definitely join if you want to exposure to lots of projects.,Specific leadership in smaller business units lacked experience.
5,Amazing company!,True,"Fast-paced, strong mission, High impact in the world, good compensation.","Less growth potential, more verticalized than in the past."
5,"Good Company, Great Facilities",True,Strong employee benefits and great tools.,Company performance up and down/ constant fear of regulatory struggles.
4,Uber Eats Driver Review,True,Flexible hours and not tied to one location all day. Good for people who enjoy driving.,"If in Philly (especially center city), parking is a deal breaker. Suburbs are much better. Paying for gas and adding mileage to your car isn't awesome either. At least that stuff is tax deductible."
3,Great If You Truly Believe,True,"Good growth 

Hustling Colleagues

Positive vibes",Compensation package is not the most attractive.
5,Fine,True,Good money it is flexible too,You have to work late sometimes
5,Good first job,True,"Deliver wherever, whenever you want. Compensated for active miles. Healthcare stipend. Prop 22 benefits guarantees hourly wage for active time. Age requirement is 18 for food delivery",Takes some strategy to maximize overall pay. Puts wear and tear on your car. Could be up to 500-750 miles per week. App glitches sometimes
5,Good,True,Great place to work at,Lots of hours if you are willing to work it
5,Good perks,True,"- you get good uber credits that you can use on rides or eats

- great career growth opportunities, intra mobility","- can be long working hours, may need to juggle many many priorities"
4,good company culture,True,awesome work culture to work with,none as i know of
4,Good,True,great to get into but need more experience,too much info need to be interred to sign in
3,"They skim off their drivers, always a trick to take advantage",True,"flexibility, no nonsense mangers, independence","Be careful out there drivers,"
4,Good,True,"-Casual culture 

-Decent benefits

-Fun normal people 

-They don’t overwork you","-Experience varies on hub location

-Changes changes internal changes and updates! Mostly filler info and requires time at all-hands, but sometimes it does call for a transition to new policy or technology"
3,Overworked and underpaid,True,"Steep learning curve

Complex problems to solve",You work a lot and don't get paid enough
3,Full time employee,True,"Good perks, monthly Uber eats credits, life insurance, etc.","Micro management, wage needs to be reviewed, no paid sick days, impossible to get any annual leave"
3,"Great leadership, peers &amp; pay - terrible internal processes",True,"Great culture, pay is competitive",The internal processes are problematic
5,Choose Your Adventure,True,"Incredible co-workers and management who are always accessible and ready to assist

Your voice can be heard... This is a free environment to ask questions, voice concerns and offer input

A plethora of advancement opportunities",I've yet to find one.
3,Startup as a Big Corporate,True,Big Impact because Uber is used globally,Burnout is quite inevitable because of pace and workload
5,Great option for temp employment,True,Doing it in SF enables you to meet people from all over the world,Gas prices are too high now to make it work
1,they’re racist,True,uber is good at scaling,career progression stratification makes it impossible for minority candidates to be promoted
4,Uber,True,"- Great work life balance (shifts of 9-5pm)

- highly educated environment 

- Great perks","- Evaluations are 360°, meaning that is has more weight what people say about you (peers, managers, others areas) rather than your actual performance.

- Be nice to everyone and you’ll manage through"
3,Opportunities are limited as a contractor,True,"- Lots of freedom and independence to figure out your workflow

- Anyone can learn how to schedule

- Manager is friendly and laid-back

- There is support when you need it","- Converting to full time still means you are logging your hours weekly

- Benefits are just okay

- No 401k matching

- Limited opportunities to grow



They were not offering conversation for years, some people had been there 2+ years and had not converted."
5,Great place to work!,True,"I love the culture at Uber, diversity and inclusion is real here. I feel supported in my role and it'a place where I feel I can grow. I enjoy the people I work with and I have support but am able to work independently as well. I also feel that as a former driver partner I have good insight now in my role within Uber and working with my clients.",Sheer size of the company it's challenging at times to determine who can assist.
4,Good Company,True,Good boss and working culture,Bad promotion ladders and company structure
3,Uber driver,True,Adjust your schedule if neded,Not always busy out side of certain hours
3,Pay is based on location,True,Work own hours. Trip bonuses,Pay fluctuates wildly. Pay based on demand/location/tips
5,Amazing company,True,"Challenging, multicultural and really active in the space.","Startups are really demanding, not for everyone."
5,Best place I ever worked there.,True,The culture is amazing. I had the best time and would work there again if I could.,"Big tech company, freight division specifically was constantly changing things and having it rolled out with major bugs."
3,uber eat,True,It is always availabe. flexible time,not enough income. too much rdiver
5,I LOVE UBER!,True,"I love working at Uber (corporate)! I think some people were nervous about how business would look during / after the pandemic, but things have been great!



Great place to grow career - there are so many opportunities in the company, and also wonderful exit opportunities!

Fun projects and work that contributes to a great global service!

Smart and caring colleagues.

Fantastic benefits and perks. Love the catered lunches and monthly wellness stipends.","Looks like we're going to head into hybrid work (50%). Think the company should really go remote-first.



Better retirement plans could be helpful! Also, better maternity. 



Besides that no complaints! I've really enjoyed my experience so far!"
5,Easy part time / full time,True,Flexible schedule and you can make easily over a hundred a day,"Nothing bad, just prepare for some minor glitches once in a blue moon"
4,Solid For Something On The Side,True,"- manage your own schedule

- be your own boss essentially",- driving distances have increased over the years
4,Great and fun job,True,"- decide when I want to work

- good pay",- tends to be stressful depending on clients
4,Good pay during peak hours,True,"In Portland up to $35/hr during peak hours

Flexibility of hours, but varying pay",Peak hours are during dinner and last 4 hours
3,THE APP BUGSSS,True,people tip pretty generously. base pay is decent.,the gps goes the long way. order accuracy is off. support takes forever to reach.
3,Beginner,True,Easy to use at any time,A lot of waiting for orders. Some distances too long for the amount of money
4,So Flexible,True,The independence to work at your own pace is what it’s all about. It’s a great part time position to fit into your current or revolving schedule. Many branches of types of rides to fit your personality.,"Expecting the bonuses to be as clear as advertised. There is often some fine print regulation to them, that can often cause you to waste your time."
5,good,True,"good pay sometimes, alone time","slow, people don't tip, cars gonna explode"
1,courier,True,"set own schedule, worked by myself","lots of gas spent, didnt really feel compensated"
1,uber is tricky,True,"flexible time off

decent base pay",fires black people often. very few people of color
5,Uber is a great company to work for:,True,"You can make a sizable pay with Uber, that's if you are willing to put in the work.","Driving can be stressful, so I would recommend that you divide your driving time into intervals and I don't recommend straight time. Something like four hours in the morning and four hour in the evening or whatever works best for the individual."
4,Food Courier,True,"-Flexible hours

-Get paid to cycle and get fit","-Have to purchase own thermal bag

-Pay depends on deliveries completed/demand so not a consistent income"
3,Okay for a Student,True,"very flexible, I could just work when I was back home during uni holidays","I was often being paid below the minimum wage as you get paid per order



Very tiring, dangerous and cold cycling in Winter"
4,Good pay during peak hours,True,"In Portland up to $35/hr during peak hours

Flexibility of hours, but varying pay",Peak hours are during dinner and last 4 hours
3,THE APP BUGSSS,True,people tip pretty generously. base pay is decent.,the gps goes the long way. order accuracy is off. support takes forever to reach.
3,Beginner,True,Easy to use at any time,A lot of waiting for orders. Some distances too long for the amount of money
4,So Flexible,True,The independence to work at your own pace is what it’s all about. It’s a great part time position to fit into your current or revolving schedule. Many branches of types of rides to fit your personality.,"Expecting the bonuses to be as clear as advertised. There is often some fine print regulation to them, that can often cause you to waste your time."
5,good,True,"good pay sometimes, alone time","slow, people don't tip, cars gonna explode"
1,courier,True,"set own schedule, worked by myself","lots of gas spent, didnt really feel compensated"
1,uber is tricky,True,"flexible time off

decent base pay",fires black people often. very few people of color
5,Uber is a great company to work for:,True,"You can make a sizable pay with Uber, that's if you are willing to put in the work.","Driving can be stressful, so I would recommend that you divide your driving time into intervals and I don't recommend straight time. Something like four hours in the morning and four hour in the evening or whatever works best for the individual."
4,Food Courier,True,"-Flexible hours

-Get paid to cycle and get fit","-Have to purchase own thermal bag

-Pay depends on deliveries completed/demand so not a consistent income"
3,Okay for a Student,True,"very flexible, I could just work when I was back home during uni holidays","I was often being paid below the minimum wage as you get paid per order



Very tiring, dangerous and cold cycling in Winter"
5,Great Company!,True,"Its been 3 months since I joined Uber and I seriously couldn't be more excited to work this company. Great culture, great talent/team whom I am learning from every day, great flexibility for remote/hybrid working and more importantly great leadership team! Uber diversity and inclusion policy is the best I've seen!","Silo's and fragmentation, this is of course a trade off vs speed. However, striking the right balance between speed and long term platform design is key."
4,Great culture,True,Benefits! Love the culture and the values here!,Be prepared for frequent changes
4,Great place to work,True,"・Good benefit, competitive salary

・Open culture

・Able to work with skilled people","・Young organization

・Internal politics

・Unfairness on promotion criterion"
5,Good job for student,True,"flexible hours, and no manager",to make good money you need to have a new car
1,The worst,True,Nothing at all to mention,"The worst company ever dude, run away"
4,Good experience,True,"Uber stock, good benefits, good experience","Bad commission structure, limited upside"
5,/,True,"Team, works, salary and food",Nothing that I'm aware of
5,Great Place to Work,True,"Smart people

Lots of resources

Great comp / benefits / perks

Lots of interesting things to be working on

Lots of town halls with sr. execs

Toxic culture from 5 years ago is non-existent",Fast-moving org - sometimes a little too fast for some but OK for me
4,great job,True,benefits are great! I would work here again,customers are annoying and they work you like crazy
5,A great way to control your working schedule.,True,i decide the days and times to work. Allowing the freedom to engage in other activities.,Requires a lot of work if you need extra earnings.
3,not too bad,True,"smart APP, easy to use","decresing rate, not worth of the effort sometimes"
4,"Great work culture in Australia - totally loved the vibe, the people and the perks.",True,"Great perks e.g. free lunch, free coffee, unlimited annual leave, phone plan paid for, health insurance paid for

Good L&amp;D and travel opportunity if you're in the right team

Great people",Doesn't feel like a start-up anymore (which might be fair) - decision making is very corporate-y
5,Great meritocracy with plenty to do,True,"- Flat

- Feels like a start up

- Well backed

-Meritocracy",- Australia is getting too mature
5,Good,True,Easy to work and start,stressful sometime when there is traffic
5,Good money,True,You can work anytime you want.,Sometimes the business is slow
5,Work Freedom. work at anytime at your convenience,True,"work freedom

some customer gives good tips","Rude behavior of customers

Restaurant wait time"
5,flexible hours,True,"good money, flexible hours and reliable",sometimes waiting long time for jobs
3,Uber demand is real,True,Work anytime and anywhere when free and available,Tough competition with increased number of drivers
4,Senior Operations Manager,True,"Great colleges, fun challenges to solve, lots of autonomy",Poor involvement from the leadership team
4,Overall Pretty Good Company to Work For,True,"- great work life balance, they have yoga!",- very faced paced working environment
3,Salary,True,flexible hours and extra money,low income and high expenses in gasoline now
5,Strat Fin Professional,True,Very rotational friendly environment if you're a strong performer.,High turnover within Finance. Strong performers can get/go where they want but at the cost of filling significant gaps from turnover.
5,hj,True,You have our own schedule,Not enough incentives for the driver
4,I WAS THE BESTMa,True,Made lots of money better than $600.00 a week,WEAR ON MY CAR I PUY ON TO MANNY MILES
3,Delivery driver,True,Was very flexible which is perfect,Jobs were not often which was annoying
5,Uber driver,True,Flexible hours good pay good app,Some times waiting for order to be done
4,Workin for uber,True,Lots of money per ride,Weird people on almost every ride
4,Good Place to Work,True,Free Time and Good Money,Customer Service Support Did Not Always Help.
5,The Best Place I have worked in my 7 year career,True,"PD Spend, competitive pay, and a culture that supports ideas and action over seniority.",Sometimes can be a little too soft from a culture perspective
5,"""Highly Recommended if you want to work on Highly Scale System""",True,"- Highly Scale System

- Fast paced development

- Great Compensation

- Culture is getting better

- High Impact and visible work

- Company expansion","- Very aggressive in planning

- No incentives for on-call rotation"
1,Horrible,True,There are no pros @Uber.,"Treat drivers bad, pay is even worse,"
5,Good experience,True,"- Flexible

- Pays above minimum wage 

- Mostly professional clientele",- Not too much control of where you work.
4,A lot of attrition,True,"Exciting, fast paced , culture, benefits",A lot of crazy changes and instability
4,Perfect,True,"Pick your own hours, ability to make 20/hr and up, Promotions, sign up bonus","Very random to what you make in a day, Risky as main income"
4,easy money. traffic driving can be crazy,True,"huge money opportunity, never had a problem with employee support",driver fatigue and driving in the city is crazy sometimes
5,Very good,True,It was nice and good,Iam feel good and seeking better
5,Customer Support Representative with Foreign Languages,True,"Satisfactory Salary in CSR with languages. 

Benefits

Flexible schedule 

Good Team Leaders","Maybe the job can be monotonous after some time, but there are internal opportunities, to change your role."
5,"Mostly great, some good, no bad",True,"Freedom to build - I have a lot of flexibility to come up with new ideas and, if they are successful, push them into products

Work / life balance - I am encouraged to take time off (it is technically unlimited), and I tend to work very consistent and reasonable hours

Money and Stock - Pay is highly competitive

People - I have been very impressed with the quality of people I have encountered at Uber so far with respect to skills and professionalism.","Bad press - there is significant bad press about gig companies like Uber, doesn't bother me too much 

Turnover - most tech companies have a lot of churn lately, and it is a bit of a drain constantly onboarding new people. That said, Uber is probably better than average in this regard."
5,The company to be in,True,You want a company that are looking not for just workers but thought partners this is your place.,The interview process can be improved.
4,"Overall, it's okay in DFW area",True,"Flexible hours, recommend if you are self-reliant, disciplined and see this as a job to save up capital to work towards your actual goals",not enough pay in my opinion
3,Good culture and benefit,True,"work life balance 

Great culture","disorganize

There is not enough career growth

Lower pay in the industry"
5,Good job,True,Very good job and you get to meet people,Long hours are tiring and some people can get rude
1,na,True,nothing to say about this,"no tips, long trips and no breaks"
2,Low Pay  Toxic Positive Culture,True,"Coworkers are great, always willing to help each other out.","Constant turn-over of management., Favoritism, and older employees are unfairly compared to new employees that are not burned out by the constant tech issues, ever-changing company, and attendance policies, and micro-managing."
4,Lively!,True,"flexible timing

pay is good

big teams","rotational shifts

less growth due to competition"
3,Too Much Bro Culture,True,"Benefits are great, depending on level you can get a nice stock option benefit as well. Unlimited PTO is fantastic benefit as well. L&amp;D is awesome.","I won't speak in absolutes, but majority of the time you will not receive that promotion you've been working 6-12+ months for if you aren't buddy-buddy with your manager or skip level. I've experienced it personally, and seen other employees experience it. This creates a really bad turnover experience a couple times a year once the perf process ends. Simply put, the people who didn't get the raise/promo they feel they deserved spend the next few months seeking it elsewhere. I've seen people get pay raises for lateral moves just by going to another company that values them more. That is partially due to the perf process not working the way it should. 



If you work here, or want to work here, there's a simple formula for getting a raise or promotion. Here it is:

Become buddies with your boss. 

Tell your boss everything you do. Even if it's something small like ""Hey, I made a new column on your google sheet!"". Apparently communication is overvalued that much. Communicate and document everything you do. Create an archive of all your work. Again, it's less quality and more quantity. When the perf period comes up, you now have your boss on your side and a huge running doc of all the little things you did.



Who do you ask for your peer review? Someone who will give honest, unbiased feedback? No way! Ask 1 buddy that works on your direct team, 1-2 buddies that aren't on the same team but in the same department, and 1-2 buddies that are in another department. If they don't know what you do, just send them your doc you've been working on for months! They can use whatever they need. Boom, you've got the promo! Congrats! Your middling performance doesn't matter, because you've mastered the system! Work smart, not hard (I use the word 'work' lightly). 



Maybe I sound bitter, but Uber has such potential that it hurts to see the culture being ruined the way it does. Oh and don't even get me started on the demographic breakdown. Outside looking in, the breakdown might look ok. The levels aren't disclosed though. It's safe to say 90% of the non-white employee is in a level 1 role. If you're new to this, a level 1 role just means that they have a job until a higher up department finds a way to outsource it.





Last thing I want to share is the execs transparency is non-existent. Something 100% isn't happening until it is. Something 100% is happening until it isn't. I get that companies have to turn the lights out on things sometimes, but why speak in absolutes if you aren't sure yourselves? Covid is a perfect example. Uber was absolutely not laying off or cancelling PERFs. Next week they do their first layoff wave of many. We get that Uber couldn't afford to keep so many people on when the business took such a hit, but why share news so confidently that you went back on within days? CEOs get paid the big bucks to be able to control situations no matter how tough. People were going CRAZY when Covid hit because the writing was on the wall, but execs were lying. Just flat out lying. Why have so many execs resigned? Transparency. I find it ironic that Uber prides itself on transparency with prices and safety, but doesn't really hold true on the inside. It's like a piñata full of garbage."
3,Startup turned stale,True,"- Great pay

- Strong engineers",- Has become very corporate
5,good,True,nice no cons best place to learn,no cons all good with company
5,Uber - Great place to work,True,"Salary, benefits, teamwork, environment, career opportunities",It's hard to find something to complain about.
4,If you can withstand the constant firedrills it's good,True,"Amazing people, well-known brand with lots of potential for innovative ideas","Messy, silo-ed, plans change often"
3,Good culture and benefit,True,"work life balance 

Great culture","disorganize

There is not enough career growth

Lower pay in the industry"
5,Good job,True,Very good job and you get to meet people,Long hours are tiring and some people can get rude
1,na,True,nothing to say about this,"no tips, long trips and no breaks"
2,Low Pay  Toxic Positive Culture,True,"Coworkers are great, always willing to help each other out.","Constant turn-over of management., Favoritism, and older employees are unfairly compared to new employees that are not burned out by the constant tech issues, ever-changing company, and attendance policies, and micro-managing."
4,Lively!,True,"flexible timing

pay is good

big teams","rotational shifts

less growth due to competition"
3,Too Much Bro Culture,True,"Benefits are great, depending on level you can get a nice stock option benefit as well. Unlimited PTO is fantastic benefit as well. L&amp;D is awesome.","I won't speak in absolutes, but majority of the time you will not receive that promotion you've been working 6-12+ months for if you aren't buddy-buddy with your manager or skip level. I've experienced it personally, and seen other employees experience it. This creates a really bad turnover experience a couple times a year once the perf process ends. Simply put, the people who didn't get the raise/promo they feel they deserved spend the next few months seeking it elsewhere. I've seen people get pay raises for lateral moves just by going to another company that values them more. That is partially due to the perf process not working the way it should. 



If you work here, or want to work here, there's a simple formula for getting a raise or promotion. Here it is:

Become buddies with your boss. 

Tell your boss everything you do. Even if it's something small like ""Hey, I made a new column on your google sheet!"". Apparently communication is overvalued that much. Communicate and document everything you do. Create an archive of all your work. Again, it's less quality and more quantity. When the perf period comes up, you now have your boss on your side and a huge running doc of all the little things you did.



Who do you ask for your peer review? Someone who will give honest, unbiased feedback? No way! Ask 1 buddy that works on your direct team, 1-2 buddies that aren't on the same team but in the same department, and 1-2 buddies that are in another department. If they don't know what you do, just send them your doc you've been working on for months! They can use whatever they need. Boom, you've got the promo! Congrats! Your middling performance doesn't matter, because you've mastered the system! Work smart, not hard (I use the word 'work' lightly). 



Maybe I sound bitter, but Uber has such potential that it hurts to see the culture being ruined the way it does. Oh and don't even get me started on the demographic breakdown. Outside looking in, the breakdown might look ok. The levels aren't disclosed though. It's safe to say 90% of the non-white employee is in a level 1 role. If you're new to this, a level 1 role just means that they have a job until a higher up department finds a way to outsource it.





Last thing I want to share is the execs transparency is non-existent. Something 100% isn't happening until it is. Something 100% is happening until it isn't. I get that companies have to turn the lights out on things sometimes, but why speak in absolutes if you aren't sure yourselves? Covid is a perfect example. Uber was absolutely not laying off or cancelling PERFs. Next week they do their first layoff wave of many. We get that Uber couldn't afford to keep so many people on when the business took such a hit, but why share news so confidently that you went back on within days? CEOs get paid the big bucks to be able to control situations no matter how tough. People were going CRAZY when Covid hit because the writing was on the wall, but execs were lying. Just flat out lying. Why have so many execs resigned? Transparency. I find it ironic that Uber prides itself on transparency with prices and safety, but doesn't really hold true on the inside. It's like a piñata full of garbage."
3,Startup turned stale,True,"- Great pay

- Strong engineers",- Has become very corporate
5,good,True,nice no cons best place to learn,no cons all good with company
5,Uber - Great place to work,True,"Salary, benefits, teamwork, environment, career opportunities",It's hard to find something to complain about.
4,If you can withstand the constant firedrills it's good,True,"Amazing people, well-known brand with lots of potential for innovative ideas","Messy, silo-ed, plans change often"
4,Good Company,True,Flexible hours and good working conditions,Low pay and security issues
3,best,True,best and good pay is nice night shift is adorable,the TLs are sometimes strict
5,Good,True,Good for beginners and nice pay,No career advancement opportunities is bad
5,Great place to work,True,"Great people, good money &amp; benefits",None so far as I have seen
5,Uber review,True,"Good work life balance, smart people to work with","WFH policy not ideal, pay is average"
5,Good company,True,"Make your own schedule

Helpful app","Not good feedback from management 

Customers expect too much out of you"
5,Great 😊,True,"Money, teamwork, freedom, meet new ppl","Long hours, late nights, wear and tear on your car"
