rating,review,recommended,pros,cons
2,The Potential Is There... But Lyft Falls Short,True,"Energetic, trendy, and friendly atmosphere, lots of growth opportunity (with caveats), excellent benefits and perks (gotta love those office snacks), dog-friendly, wonderful and supportive co-workers, gorgeous office, prime location, company CEO's are pretty transparent about what's going on with the company and goals/risks","Employees are viewed as numbers and productivity stats. They attempt to make the job seem like less of a call center, but the result is counterproductive and detrimental to the work environment. 



While I was there, employees were fired left and right - some of them for issues that came about due to retroactively applied policies (I won't even touch on how ethically reprehensible that is) - and oftentimes without warning even though there was apparent documentation of issues that were never brought to the employee before they were fired. 



I sincerely hope this has changed since I worked there because I've never in my life seen such a high turnover rate, especially since the employees leaving weren't going to other departments or making progressive moves to other companies. It was just firings, and that says a great deal about what kind of company Lyft is. I felt very deceived by the people who hired me after the newness had worn off because I felt like I was pitched a much different work experience than what was actually the reality.



If you have aspirations to grow within the company, there is opportunity to do so provided that you are chummy with upper management. They're nice people (albeit a bit inexperienced, but that goes hand-in-hand with startups), so it's doable, but if one person decides they don't like you, then you're SOL. It's a very cliquey atmosphere, and dedication and hard work will not guarantee upward mobility (it doesn't hurt though).



Finally, the biggest problem I have with Lyft is that you cannot be yourself while at work unless you are a constantly bubbly, always glass-half-full person who never has anything constructive to say. I'm a positive person by nature, but the people who were successful at Lyft were borderline disingenuine with their hamfisted positivity. I didn't feel like I could trust many people because everyone was so afraid to say anything that wasn't unicorns and glitter rainbows. And surprise, surprise, the employees who did constructively speak up (and I'm not talking outright negativity here; I'm talking about comments like, ""hey, I noticed that we have some grammatical errors on the website/reply templates, I'd be happy to fix those for us or let whoever handles those know they need to be fixed"") were shown the door. 



Truly disheartening because Lyft has the potential to be an absolutely amazing place to work."
5,Software enginner,True,Great lunch. Lyft credits. Friendly atmosphere.,Hours can be long. Need more females in engineering leadership roles.
5,Fantastic Company!  Fast growing yet still feels like a family.,True,"Benefits are great, Perks are fantastic, flexible working conditions.",None that I can think of
5,Startup environment with room to grow and develop your career.,True,"Always new areas of opportunity! As the company grows and develops, so can you. Open and accepting with a great culture.",Competitive and you must stay scrappy. This is not a place where you can coast. Scheduling may be unique as they have multiple departments in which they ask for 24/7 staffing.
5,Ideal Workplace,True,"The people are extremely friendly and authentic

The environment is flexible and ready for action

Love the mission of helping to change the way our world works by imagining a world where cities feel small again.","Nothing at this time, it's a great place all around."
2,Leadership woes prevented us from taking advantage of the #DeleteUber viral campaign,True,"Rapidly growing and well funded. Depending on the team you're on, you have the opportunity to make an impact and grow.



The $200/month in ride credits is a great perk","Horrible office politics and inexperienced leadership plagues the company. Too many managers land grabbing and building empires. Senior leadership consists of inexperienced people, many of which haven't worked anywhere before Lyft. 



Very cheap company in terms of compensation and raises



The CEO and President are nice guys but they're not the leaders you want to march into battle for. They're more concerned about being ""woke"" than building the transportation solution of the future"
1,Bad experience,True,There are no pros to a very unresponsive support staff.,"I have not yet had a chance to drive with Lyft because of an unreasonably long wait during the onboarding process.  I applied for this ridesharde service more than six months ago.  I have received repetitive request to submit information that was previously submitted with no progress.  I was recently contact by the ""help team"" who have recently failed to update me concerning the status of application. Each time I check it simply says ""items under review"" with no clear explanation for why it has taken more than a month to complete a process that should only take 48 hours."
5,Expect to be challenged,True,"Huge experience, training, and start-up culture environment","Goals are high, and the company is very competitive. Must have skills across the board to be successful. Strategy, Analytics, Time Management, Client Relations."
5,Social Media Customer Experience Associate,True,"The work hours are typical 9-5, dog friendly office, fully stocked kitchens, casual work environment, GREAT employees.","The application, interview and overall process is a little long. I applied and finally interviewed a few weeks late and started working two weeks after that. It takes about 1 month from start to finish."
1,Don't believe the hype: it's not the place you want to work,True,Pay is competitive and benefits are generous.  Friday booze (if that's your jam).  Equity is generous and looks like it'll be worth something soon.,"Worst presence and execution of in office politics of any office I've ever worked at.  It's not that things are overtly political and tedious, but that people don't even know how to be political effectively.  It's sort of embarrassing.  Slowest moving tech company I've ever worked at.  The amount of hoops that you have to jump through are similar to large, old companies.  Death by Power Point.  Clandestine culture that's also poorly executed.  People try to do a lot of work in the dark and change org structures in secret, but the secret always gets out, people always get nervous, and the execution is just horrific.  Management is generally weak (although there are good individual contributors).  Lots of people who were good ICs and just happened to be old timers end up in leadership roles even though they are really bad leaders.  This is pretty prevalent in marketing, analytics, operations, and product.  Think of large company process and progress with start up chaos.  Tools are weak.  Inability to focus on most important problems.  For 60% of the teams at Lyft, I could not ever recommend joining."
2,be careful of company mission,True,vision of what  the company should be,not quite there as far as living up to mission
5,Impressive Culture and Team,True,"The culture cannot be beat!  Core values are a way of life and not just something that looks good ""on paper.""  Also, the wellness benefits are offered from day one of employment!","This is not a con for Lyft, but affordable monthly downtown parking is a challenge to locate.  However, Lyft provides employees with parking credits AND Lyft credits which is awesome!  Lyft is not currently available in my area so I am commuting until I can relocate closer to Nashville and, therefore, I cannot take full advantage of these credits (yet)."
4,Ok place,True,Good management team. Good staff,Pay could be better on some days
4,Community Associate,True,"Great company culture, values and benefits.",Difficulty adapting to growth and keeping promises to contract employees.
5,"Excellent perks, experienced teammates, and flexible work life",True,"Amazing lunch + dinner (unlimited guest passing of friends)

Teammates are all highly collaborative and interested in achieving company success

Managers are very hands off, but are still organized about expectations of work to be completed

Flexibility to find and create new projects for the company

New 15' maxed out MBP

Phone bill reimbursement","Not enough Lyft credits for a full monthly commute

I don't have my own desk yet (my manager lent me his)"
5,Couldn't imagine working anywhere else,True,"Incredibly smart people, so much growth potential, super transparent management",Definitely some growing pains but that's expected
5,Happy with my Lyft life,True,"Great leadership

Freedom to innovate

True investment in diversity



Exciting to be a part of a company that is constantly growing and changing!","Local teams are somewhat disconnected from HQ and when things are urgent for us, the urgency doesn't translate to SF at times. There are so many internal processes that are working towards making this experience better, so I hope that they are successful!"
5,Not that bad at all,True,SOme real nice people in there,SOmetimes it seemed like people were fak e
4,My experience as a CA,True,"Lyft as a corporation has very good values and a good heart, which is rare nowadays. They care about their employees. I think if you work for certain branches of the company, your life is great. If you work for others, not so much. I thought the company itself was good overall, the pay was fair, and the benefits were very nice.","My position itself was very difficult to handle day in and out. As a community associate we are yelled at all day by drivers who think everything is our fault. I could only take so much of that for so long. However, I think it wears down even people with the thickest of skin."
5,Customer Support,True,"Lyft is a great place to work. The office is wonderful, the employees are happy, and the benefits are great.","I can't think of any at this time, except maybe if you're looking for a simple 9-5, the hours can vary greatly."
3,"Work hard , no loyalty",True,"benefits, office space and free snacks",cut throat behind the smiles - a lot of work expected for medium pay standards
2,Inequality and favoritism from managers to certain employees,True,"Flexible work environment

co workers are nice","Seniority does not matter.  New people are brought on by managers that know the new hire personally.  Then that new hire gets special treatment and gets favoritism.  Management really doesn't care about your growth unless it will benefit them (getting a promotion).  New hires that know manager come in and act like they are above you and treat you like nothing because of the ""connection"" they have with the manager.  

No benefits they just contract you and use you as they please."
3,Growing Pains,True,"Benefits - free lunch, ride credit, transit","Raises are poor, performance is about who you know."
4,Great place to work temporarily,True,"Great culture, fast paced, exciting, great benefits.",Not very much opportunity for advancement at the Nashville office.
5,Excellent,True,Great customer service for this company.,None that I can think of.
5,Positive Experience!,True,"I was just hired onto Lyft, and very excited for this career. Lyft is so welcoming, positive, and uplifting. They are a DOG FRIENDLY office, so how can you not be happy in that enviorment? Cute dogs, all day long.",None at the moment. Looking like a very positive experience ahead.
5,"Great Company, Great Leadership, Great People",True,Amazing people and culture. John and Logan do a great job of living the brand and exuding passion for their mission. Nothing but great things to say!,"Normal growth issues, they are scaling very fast and teams/environments change rapidly."
5,Great place to work,True,It is a great place to work,I don't have any cons
1,Uber in Pink,True,People bad talk the food but I actually thought it was pretty good. It's fun to tell drivers you work at Lyft.,"I've seen just about everything that Uber gets shamed for happen at Lyft: a focus on maximizing revenue by short-changing drivers, sexual harassment, political decision-making structures that make everything a question of who you kiss up to, pressure to work long hours whether or not its productive, management by adult children. The ""culture"" of Lyft has become a marketing slogan and the founders have made that clear.



Side note: As an outsider looking in, the logical approach now is to slash the regional offices pretty drastically, so I'd avoid taking a Lyft job that's not at HQ."
5,Account Executive,True,"Really cool crew, wish them the best","Tough growing pains, figured it out"
5,Not your typical ride share company.,True,There is great sense of team-work within the company.,Wish Lyft would go international.
5,Great so far!,True,"Great colleagues! Brilliant jerks without the ""jerks"" part.  Rapidly growing and very exciting.",Pre-IPO has some disadvantages - e.g.: stock has no value yet.
5,Great Place To Work!,True,Amazing work life balance. Great pay and your managers are always there to help you grow to become better.,"Small company, growing fast, changes. ( but some may see this as a pro.)"
4,Great company!,True,"Very good culture, enjoyable work, feel like you're making a real impact","Not many... pay is probably not as high as you could find elsewhere, but definitely still a very worthwhile company."
5,Great company with tons of opportunities and great benefits.,True,Highly skilled co-workers and interesting problems.,Poor balance of work time versus personal time.
5,Customer Experience Associate,True,"Great atmosphere, excellent team members, flexable hours and training.",there are none that i have experienced
5,Brand Ambassador,True,"great culture, flexible, traveling, fun","no consistent pay, change of pay structure"
1,Customer Support / Local Team,True,"Good coworkers (On same level) , Free Snacks, Downtown","Poor communication between management and lower level. Underpaid for the amount of time &amp; work put in. Management is against overtime for the local team. Never following through with goals,  Not informed about company changes... (Having to find out details from the public) No formal training for the local team. Not strong enough tools to complete tasks. Many tools are not accurate in reporting information yet are never fixed even though reported multiple times. I felt as though I couldn't do anything without asking management. Even when I did ask management I wasn't given a clear answer and was reprimanded for not giving them what the wanted. I was being watched by big brother every second of every day. The company made business choices around political information that had nothing to do with the company. Many employees and customers were not happy with the choice and left the company.  Lied to during interview about my work hours. ""You may have to work the occasional weekend"" I am writing this review now working 10 weekends in a row. Last second changes as to what needs to be done. Example: After working 6 days in a row a the end of day 6 being asked: ""Hey can you work for an hour tomorrow?"". No consideration for lower employees care."
5,great company,True,good company to work for,may get better but pay is low
4,Lyft Review,True,Great team and management team,Needs better pay and promotion structure
5,Great opportunity,True,"Flexibility, work when you want.","They keep dropping the referral amounts, and they completely eliminated mentoring."
3,No longer a startup,True,"Nice office in South Beach, decent benefits, unlimited PTO, and free meals.",The quality of your experience at Lyft is going to depend mostly on the culture of your team.  Some teams are very cliquey.  Lyft's attorney department is one the biggest teams in the company while other teams are expected to work 24-7 to get all the work done.  Employee distribution needed.
4,Interesting...,True,There some great ideas within the company and the benefits are nice.,Still a fairly new company. Which means things are constantly changing...
3,Good company but stressful job,True,"Great company values and culture, fun office, nice location downtown in the middle of the action, friendly and smart employees, free snacks and drinks, generous healthcare benefits, freely available overtime.","I like the company but don't like the job. Critical response line is extremely stressful as you are constantly dealing with angry passengers and drivers calling the line for any number of issues. There is a chronic shortage of agents even though the company's ridership is growing, meaning that everyone is becoming more burdened and morale is the lowest since I've been here. We're seeing turnover rate increasing as more agents are having difficulty dealing with deluge of stressful calls. This office in Nashville is only around a year and half old so perhaps there are growing pains, but it seems management needs to get on the ball because many pain points that cause this job to be stressful could be solved. Getting promoted from within the company seems near impossible. Pay while probably at about the Nashville average for an entry-level call center job  is still a bit low given the stress level of the job and the rapidly rising cost of living in Nashville."
5,Like it very much,True,"Great work culture, talented people, good work of     balance. Cool working environment. Flexible working time, lunch &amp; snack ... there are so much amazing thing","It would be wonderful if 401K match can be provided,            Large Meeting rooms are not enough, other than that, everything is good"
1,Pitiful,True,"The pay is good

Free food

Bring your dog to work sometimes

Wear what you want","Discriminatory environment

Workloads are never guaranteed

You have to pay to park at your own job"
5,great!,True,awesome place to work. great people.,High competition from competitors like uber
2,Liars!,True,The company has great people.,Management likes to change employees job responsibilities and roles without asking and low wage.
5,Financial Analyst,True,"Fun, hardworking, young employees, In SF","Long hours, No gym memberships"
5,Great place to work,True,Awesome team members!  Everyone helps everyone else out.,Full time only.  No part time positions.
5,Amazing place to work!,True,I've been here for 3 years and witnessed the explosive growth but unwavering commitment to culture/values. Everyone here is driven and results-oriented while being collaborative and kind. I love coming to work every day to tackle the complex and interesting issues we face in our competitive industry. It's nice being the good guy.,I would not apply to Lyft if you can't pivot quickly and operate well in the gray.
3,Boulevard of Broken Dreams,True,"~ Monthly credits

~Healthcare is pretty good

~snacks 

~the culture is nice when present","~pay (there are sometimes where I have to drive to stay afloat)

~lack of opportunity for career progression 

~Upper management is not the most diverse in thinking and background.

~walking on eggshells if you have an opinion that differs from management because so many of my coworkers have been fired for voicing theirs."
5,Lyst is awesome!,True,"Relaxed work environment, Smooth interview process, small company feel, personable and room for growth",Open office configuration can be distracting
5,Customer service over night repersentive,True,A lot of cool people,The hours are a lot to mange
5,Just got Hired,True,"Vetting and interview process is pretty straight forward

The people that work in the office are truly very friendly and really display the core values of Lyft very well

The office space is conducive to cooperating with others

The wages and benefits are great even for part-time associates

Very efficient in their use of technology",I have no cons to date
5,Best job I've ever had,True,"Great environment with wonderful coworkers

Management is flexible and considerate 

Company is invested in your career 

Benefit package is amazing","Being based in San Francisco, the Nashville office has to stream team meetings and often have video meetings with team members in other offices. It's not horrible, it can just feel distant."
5,Critical Response Line,True,Great environment. Amazing benefits. I love working there!,Customers yell at you a lot because they called the wrong number and we can't help them.
5,Lyft Customer Experience Team,True,Amazing job at hiring and building a team. Having gone from such a small team to over 300+ people now. Coworkers are amazing.,"Sometimes scheduling can be a bit tricky, but this is a very small issue and really the only thought that comes to mind. Lyft is a great company to work for."
2,Crl,True,"Culture, environment, teammates, insurance and lyft credits",No growth opportunities. TEAM LEADS treat the department like a jail house
3,Outside service coordinator,True,i worked asa a starter for the golf course. Trained new employees and how to open and close the course. i also worked to help organisation tournament.,A hard worker looking for an opportunity to work within environment to add to the positive workforce and profitability of the company.
1,Software Engineer,True,Pre IPO company so monetary gains if they go public. Rest all is fake. Nobody truly cates about community or company believes.,Nobody is willing to help. You would have to push and ask number of times the senior devs/ engineers to help you if you are stuck. No mentorship to help you grow everybody is working to get personal gains and for IPO event. No attachment to company ethics or goals. All are selfish and dont help you grow but concentrate on personal gains cant trust anyone. Good people who were willing to help and mentor QAs and engineers were nit valued and left the company. Would never recommend anyone to join this startup.
3,"Decent entry level job, definitely has pros and cons.",True,"Great benefits, Nice office, Free snacks.","Lack of communication and sometimes misleading information is provided to employees. When you apply, be aware you will not get all of the holidays they list off. You'll get overtime and holiday pay, but it is misleading to list those days as holidays without noting employees are required to work most of them."
5,Program Manager,True,brilliant people eager to make an impact,"growing very fast, slightly disorganized"
3,Intern,True,Free rides/travel compensation is good,pay is not that great
5,Operations Assoc.,True,great impact! good benefits and vacation. flexible work environment. great people- smart and motivated,growing fast. organization and management lacks
5,Lyft Love,True,"Got to work with some of the most energetic, positive people and learned from them.",Would have liked more transparency for next steps within the organization.
1,Lower Class riders than Uber,True,They seem to pay a little better than Uber,"The riders seem to be the lower segment of society.

Most rate you low without cause.

App is poor in seeing your driver rating."
2,Critical Response Line Representative,True,"The benefits are alright, the people are (mostly) cool, and they provide snacks. Most departments are very casual.","Though there are many cons, I choose not to list them on this public format."
3,Room for improvement,True,"Great benefits

Fun environment

Amazing culture

The team is great, very creative and diverse group of folks who each bring their own special talents to the table.","Pay is low, seriously... should be more than 15$/HR for CEA's..

Management is messy. 

Systems need an overhaul, the app needs an overhaul, there needs to be more focus on testing a new update for the app or promotion before rolling it out and causing your Support bucket to overfill beyond unfathomable numbers.

Not much room for growth.

You'll be cross trained but you won't get a raise."
1,Community Associate,True,"Free meals. Lunch is catered, lots of free snacks, booze and coffee. Everyone in the office is happy to work OT and are bought into the culture and company.","CAs are treated like garbage! Everyone else in the office enjoys their job and gets the full experience of working at Lyft. For a technology company, CAs use the worst of what's available, CHROMEBOOKS. I would advise anyone looking to work at Lyft as a CA to just retail instead or get a job as a human punching bag, practically the same thing."
4,Working at Lyft,True,"perks, benefits, smart people, mission and vision",lack of professional development and weak management
4,Go to work with friends!,True,I like the environment a lot. It truly does feel like you are working with your friends. Everyone cares about you as a person and they enjoy hanging out together outside of work.,Little career growth in my field. They keep pushing out a promotion after being here for almost a year and a half.
4,Super Laid Back,True,Everyone is brilliant at what they do.  Work hard play hard atmosphere,The constant celebration of everything can be distracting.  A lot of growing pains.
5,Wonderful Collaborative Environment,True,Fast moving. Empowers you to make decisions that improve the company.,Growing company. Still learning about establishing processes for scale.
5,Change Agent,True,This is the office environment of the future. Can you image working where everyone is happy? It's amazing! It's true. Great benefits and pay.,I wish everyone I know out of work or looking for a positive change could work here.
5,Community Associate,True,i get to share my previous experiences with new drivers. Any time I can pour into people what this great company has taught me it's a plus!,We do our mentoring sessions in the stocking area of a Pep Boys. But we get the job done and most drivers seem pretty happy with the whole process.
3,A Good Job If You Aren't Looking To Be Promoted,True,"Good pay, Good benefits but high deductibles

Swanky offices

Free snacks all day long

Likely a chromebook in your future 

Free t-shirts","No room for being promoted from within, no matter how much they promise you

If you're not meeting your numbers after a few months, you'll get let go with no warning"
5,Best job I've had,True,"-Great at hiring likeminded people

-Management trusts in your decision making skills and empowers the team

-Very little micro management

-Very close knit team

-Solid work-life balance

-You feel like your work has an impact in the company","Personally, there aren't any for me, because I love the job/company; however, I do think some people may see the following as cons:



-very fast paced environment

-processes are improved very quickly - i.e. they change a lot

-flexibility is a must"
5,Best place I have ever worked,True,"The most caring, thoughtful and truly-inspiring company I have ever worked at before.","Honestly, I have nothing negative to say about Lyft. I simply hope I get to stay with the company for a very long time."
2,Company unsuccessful at executing to its potential. Frustrating if you're ambitious.,True,"You work with a team of young, kindhearted people. If you're happy with coasting at your job, you could easily fly under the radar.","This is a company that on the surface presents itself as the nice guy of the industry, but routinely underpays its employees and is wrought with internal politics, causing the company to stagnate.  It cuts the rates of the drivers without a second thought, even though the livelihoods of actual people depend on those numbers they play around with.



If you don't care about how the company performs and are just looking for a FT job, you could find a good home here.  But if you're looking to make your mark on the world, this is not the place to do it."
5,Community Associates,True,"- Incredible company

- You are changing the world (literally) 

- Incredible work atmosphere 

- A lot of benefits 

- Chances of growing are high 

- You are working in a entrepreneurial environment with AMAZING PEOPLE!

- Learn a LOT!","- I think work sometimes can be difficult and we all have ""those days""

- I can't think of one con"
4,Generally okay,True,"Nice benefits. Healthcare and so on. Smart people to work with, and a common enemy in Uber",Day to day problems were pretty easy which led to me getting pretty bored. The infrastructure was also a mess
5,Amazing company with a fantastic vision,True,"– Vision that is meaningful to individuals and communities

– Lots of opportunities to create and shape initiatives

– Fast pace, flexible work environment

– Incredible benefits","– Ambiguous operating structure

– Pace may be disorienting for some"
5,Critical Customer Service Associate,True,"Lyft offers an awesome work environment that's welcoming, constructive, and supportive. This is all made possible by the team!","As a new employee, I have no cons to post at this time. I don't see any arising in the future, either!"
5,The Place To Be!!!,True,"- Positive atmosphere; people are great to work with.

- creative space to innovate and help the company to be even better

- A continuing movement

- Dog friendly

- team oriented environment 

- commute package/Lyft credit to use for rides to work

- Insurance 100% covered for employees and 75% for dependents 

- able to be yourself, have fun, and make money while doing it!","The location in downtown Nashville! The traffic here can be so terrible especially downtown. I would have to say traffic would be a con for any business here in Nashville, TN."
5,Lyft Representative,True,Excellent Customer Service and maintenanc,Need to adjust base pay to match inflation and high gas prices.
4,Low Stress,True,"Flexibility, easy to do, low maintenance",Doesn't pay enough during non-rush hours
3,Great places to work,True,"Nice people, fun work environment",Management was not great had issues with leave policies
3,Glad to be gone,True,"Possible raise promotion every 6 months

Parental leave","lack transparency and accountability. Little opportunity for growths 

DEI throughout is better said that done"
4,Supportive work environment,True,"Supportive management, decent benefits, good team cohesion","Limited tooling, Lyft as a company has grown stagnant and leadership seems transitionary"
4,Good company to work for,True,"unlimited pto, wfh, medical, and 401k plan",they do not match 401k
3,Lots of work for little money,True,"-Lots of Structure in process, organization, great Health Benefits","-Lots of projects with zero recognition and for no money 

-Hard to speak up in such a large company 

-Pandemic really changed Lyft"
1,No perks - awful work environment- Avoid.,True,It sounds like a good job to your family and friends.,Working in a hostile work environment inside an already hostile NTB was really awful. Lyft provided a bad experience to the drivers and the employees were also provided with no structure and bad pay.
3,LYFT,True,consistent salary and the benefits were good.,Low salary and the amount of work required
3,Learn how to rig the system,True,"I only drive bonus times and late nights. Use destination filter to get lots of trips staying in bonus zones. It’s very inconsistent. It’s mercenary so be selective of rides and times, they won’t treat you well just for playing so have to beat them at their own game and refuse to drive off hours",Driver support is awful and they can deactivate you based on invalid passenger complaints from people looking for free rides.
5,Work culture reflects the brand,True,"People are friendly and interested in helping you succeed, not competing with you for accolades

Work culture is relaxed, but still professional

There are organizational structures in place to make everybody's job function more smoothly, but there's still an attitude of 'anything is possible, don't let existing norms constrain you'","Company is definitely the challenger in the marketplace. I view this is an opportunity, not a con, but still something to keep in mind."
4,Great place to work,True,It's a great place to work,"Grew too fast, and too many middle managers"
5,Great place for someone of any age!,True,"Fun environment

Tons of snacks and coffee machines

Dog friendly office

Your co-workers become your friends

Full Benefits paid for by the company

Parking compensation",Sometimes hours can be early or late (But typically never a huge issue).
5,Awesome Team Doing Great Things,True,Great people passionate about what the do.  Fast pace minimal corporate bs.  Good values.  Caring team.  Love the culture and focus on simplicity and delighting customers.  Treating customers and employees better!  Real company mission and vision to change the world.,Can't think of any that matter.  The pace is fast and not for everyone.  Opportunity to connect more teams and communication.  Career development a growing focus which is great for the young org and employees.
1,Proceed with caution,True,"Great benefits, great core values, nice office.","Very little notice given to employees when shift schedules change.  

Lyft core values look great on paper, but are not practiced in Nashville office.  

Leadership run the office like a popularity contest.  If you are an employee in the ""in"" crowd you have it made, but if you are outside the ""in"" crowd, Lyft core values go out the window and you are treated very differently."
