,0,1,2,3,4,5,6,7
17,Giant Snowball,Skeleton King,Bats,Ram Rider,Skeleton Army,Tombstone,Mother Witch,Arrows
18,Ram Rider,Inferno Dragon,Lumberjack,Fireball,Bandit,Magic Archer,Barbarian Barrel,Ice Golem
25,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
26,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
27,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
28,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
29,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
30,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
31,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
32,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
33,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
34,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
35,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
36,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
37,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
38,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
39,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
40,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
41,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
42,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine
43,Lava Hound,Lumberjack,Baby Dragon,Arrows,Skeleton Army,Bats,Clone,Flying Machine
46,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
47,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
48,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
49,Lava Hound,Arrows,Electro Dragon,Flying Machine,Skeleton Dragons,Tombstone,Barbarians,Miner
50,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons
51,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons
52,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons
53,Electro Giant,Dark Prince,Baby Dragon,Lightning,Tornado,Goblin Cage,Mega Minion,Skeletons
54,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
55,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
56,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
57,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
58,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
59,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
60,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
61,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
62,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
63,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
64,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
65,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
66,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
67,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
68,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
69,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
70,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
71,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
72,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
73,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
74,Electro Giant,Dark Prince,Baby Dragon,Skeletons,Tornado,Goblin Cage,Mega Minion,Lightning
75,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
76,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
77,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
78,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
79,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
80,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
81,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
82,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
83,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
84,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
85,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
86,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
87,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
88,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
89,Giant,Bowler,Night Witch,Bats,Arrows,Giant Snowball,Graveyard,Skeleton Army
103,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
104,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
105,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
106,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
107,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
108,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
109,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
110,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
111,Ice Golem,Hog Rider,Three Musketeers,Fireball,Fire Spirit,Skeletons,Cannon,The Log
112,Fire Spirit,Skeletons,The Log,Royal Delivery,Earthquake,Goblin Cage,Archer Queen,Royal Hogs
113,Electro Giant,Bats,Skeletons,Electro Spirit,Fireball,The Log,Archer Queen,Tornado
114,Skeleton Barrel,The Log,Fireball,Cannon,Valkyrie,Goblin Barrel,Dart Goblin,Skeletons
115,P.E.K.K.A,Skeletons,The Log,Tornado,Bats,Electro Giant,Earthquake,Fire Spirit
116,X-Bow,Archers,Knight,Skeletons,Tesla,The Log,Mirror,Fireball
117,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
118,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
120,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
121,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
122,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
123,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
124,Ice Golem,Hog Rider,Musketeer,Fireball,Fire Spirit,Skeletons,Cannon,The Log
125,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
128,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
129,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
132,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
133,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
134,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
135,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
136,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
137,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
138,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
139,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
140,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
141,Hog Rider,Musketeer,Cannon,Fireball,Skeletons,Ice Spirit,Ice Golem,The Log
142,Archer Queen,Bandit,Electro Spirit,Giant Snowball,Lightning,Mega Knight,Ram Rider,Royal Ghost
143,Skeleton Barrel,Goblin Barrel,Dart Goblin,Wall Breakers,The Log,Hunter,Skeletons,Ice Spirit
144,Spear Goblins,Wall Breakers,Magic Archer,Tornado,Fireball,Miner,Valkyrie,Bomb Tower
145,Electro Spirit,Goblin Gang,Inferno Tower,Rocket,Valkyrie,Goblin Barrel,The Log,Princess
146,Barbarian Barrel,Tornado,Baby Dragon,Lightning,Mega Minion,Goblin Cage,Valkyrie,Royal Giant
147,Giant,Graveyard,Bowler,Barbarians,Mega Minion,Night Witch,Arrows,Zap
148,The Log,Hog Rider,Skeletons,Valkyrie,Earthquake,Electro Spirit,Firecracker,Tesla
149,Fire Spirit,Skeletons,Earthquake,Royal Delivery,The Log,Goblin Cage,Archer Queen,Royal Hogs
150,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
151,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
152,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
153,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
154,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
155,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
159,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
160,Lightning,Barbarian Barrel,Electro Giant,Inferno Dragon,Tornado,Dark Prince,Ice Wizard,Tombstone
185,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
186,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
187,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
188,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
189,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
190,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
191,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
192,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
193,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
194,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
195,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
196,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
197,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
198,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
199,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
200,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
201,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
202,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
203,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
204,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Golden Knight,Electro Wizard,P.E.K.K.A
207,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A
208,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A
209,Ram Rider,Fireball,Royal Ghost,Giant Snowball,Magic Archer,Bandit,Electro Wizard,P.E.K.K.A
245,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
246,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
247,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
248,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
249,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
250,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
251,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
252,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
253,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
254,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
255,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
256,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
257,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
258,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
259,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
260,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
261,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
262,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
263,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
264,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
265,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
266,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
267,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
268,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
269,Giant,Skeleton Army,Giant Snowball,Minions,Musketeer,Dark Prince,Arrows,Graveyard
270,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
271,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
272,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
273,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
274,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
275,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
276,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
277,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
278,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
279,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
280,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
281,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
282,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
283,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
284,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
285,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
286,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
287,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
288,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
289,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
290,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
291,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
292,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
293,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
294,Royal Recruits,Zappies,Goblin Cage,Royal Hogs,Fireball,Flying Machine,Arrows,Barbarian Barrel
302,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
303,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
304,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
310,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
312,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
313,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
314,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
319,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
320,Archer Queen,The Log,Hog Rider,Knight,Skeletons,Bomb Tower,Fire Spirit,Earthquake
321,Skeletons,Fire Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
322,Skeletons,Fire Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
323,Skeletons,Fire Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
324,Skeletons,Fire Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
325,Skeletons,Ice Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
326,Skeletons,Ice Spirit,Hog Rider,Valkyrie,Firecracker,Tesla,The Log,Earthquake
327,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
328,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
329,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
330,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
331,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
332,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
333,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
334,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
335,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
336,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
337,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
338,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
339,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
340,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
341,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
342,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
343,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
344,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
345,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
346,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
347,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
348,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
349,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
350,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
351,Graveyard,Valkyrie,Ice Wizard,Baby Dragon,Tombstone,Barbarian Barrel,Tornado,Poison
387,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
388,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
389,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
390,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
391,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
392,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
393,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
394,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
395,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
396,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
397,Lava Hound,Mega Minion,Minions,Valkyrie,Balloon,Tombstone,Zap,Fireball
